Ticker,Direction,Target,Hour,NumObs,Years,NumTrades,TradeFreq,Win%,AvgLoss,AvgProfit,AvgPnL,Expectancy,BestDay,WorstDay,Annual%,MaxDD%,Sharpe,ProfitDD,UPI
NQ,longonly,Ret_fwd6hr,0,2750,10.91,107,3.9,59.8,-0.48,0.63,0.18,0.18,8.61,-3.06,1.77,6.18,0.53,0.29,0.55
NQ,shortonly,Ret_fwd6hr,0,2750,10.91,142,5.2,44.4,-0.25,0.33,0.01,0.00,2.20,-1.49,0.07,3.83,0.05,0.02,0.04
NQ,longonly,Ret_fwd6hr,2,2900,11.51,153,5.3,51.0,-0.52,0.60,0.05,0.05,3.38,-2.71,0.67,9.12,0.24,0.07,0.22
NQ,shortonly,Ret_fwd6hr,2,2900,11.51,234,8.1,51.7,-0.29,0.27,-0.00,-0.00,1.58,-1.62,-0.07,5.05,-0.03,-0.01,-0.03
NQ,shortonly,Ret_fwd6hr,17,2600,10.32,214,8.2,51.4,-0.25,0.27,0.02,0.02,3.89,-3.54,0.36,4.30,0.16,0.08,0.18
NQ,longonly,Ret_fwd6hr,23,2800,11.11,176,6.3,60.2,-0.34,0.43,0.12,0.12,4.59,-2.57,1.93,3.50,0.77,0.55,1.77
NQ,shortonly,Ret_fwd6hr,23,2800,11.11,268,9.6,42.9,-0.26,0.33,-0.00,-0.00,1.73,-1.29,-0.08,7.64,-0.03,-0.01,-0.02
NQ,shortonly,Ret_fwd6hr,6,3200,12.70,224,7.0,49.1,-0.67,0.71,0.01,0.01,4.33,-2.93,0.13,9.91,0.05,0.01,0.04
NQ,longonly,Ret_fwd6hr,17,2600,10.32,159,6.1,53.5,-0.53,0.41,-0.02,-0.02,3.34,-4.62,-0.42,10.13,-0.12,-0.04,-0.08
NQ,longonly,Ret_fwd6hr,6,3200,12.70,180,5.6,50.6,-0.83,0.89,0.04,0.04,4.63,-4.60,0.51,8.04,0.14,0.06,0.20
NQ,longonly,Ret_fwd6hr,4,3250,12.90,40,1.2,50.0,-0.30,0.43,0.07,0.07,2.02,-1.19,0.20,2.29,0.21,0.09,0.14
NQ,shortonly,Ret_fwd6hr,4,3250,12.90,98,3.0,52.0,-0.44,0.46,0.03,0.03,2.17,-1.26,0.22,3.54,0.14,0.06,0.14
NQ,longonly,Ret_fwd6hr,14,3100,12.30,237,7.6,57.0,-0.41,0.53,0.13,0.13,3.31,-5.90,2.40,6.06,0.73,0.40,1.64
NQ,longonly,Ret_fwd6hr,19,2950,11.71,97,3.3,57.7,-0.44,0.47,0.08,0.08,1.92,-3.94,0.67,4.09,0.33,0.16,0.74
NQ,shortonly,Ret_fwd6hr,14,3100,12.30,261,8.4,45.6,-0.34,0.50,0.04,0.04,4.30,-1.87,0.87,5.90,0.30,0.15,0.25
NQ,shortonly,Ret_fwd6hr,19,2950,11.71,204,6.9,39.7,-0.24,0.42,0.02,0.02,5.36,-2.53,0.32,5.43,0.13,0.06,0.20
NQ,longonly,Ret_fwd6hr,16,3100,12.30,73,2.4,60.3,-0.35,0.24,0.00,0.00,0.82,-1.72,0.01,2.37,0.02,0.01,0.01
NQ,longonly,Ret_fwd6hr,21,2900,11.51,127,4.4,63.0,-0.40,0.51,0.17,0.17,3.51,-2.91,1.89,3.37,0.75,0.56,2.91
NQ,shortonly,Ret_fwd6hr,21,2900,11.51,222,7.7,47.3,-0.20,0.18,-0.02,-0.02,0.86,-0.91,-0.40,5.25,-0.35,-0.08,-0.14
NQ,shortonly,Ret_fwd6hr,12,3200,12.70,209,6.5,47.4,-0.43,0.53,0.03,0.02,2.37,-1.75,0.39,7.99,0.16,0.05,0.12
NQ,longonly,Ret_fwd6hr,8,3300,13.10,45,1.4,57.8,-0.63,1.33,0.50,0.50,11.28,-2.04,1.67,2.84,0.47,0.59,1.37
NQ,shortonly,Ret_fwd6hr,16,3100,12.30,188,6.1,46.3,-0.27,0.27,-0.02,-0.02,1.16,-1.52,-0.32,7.31,-0.21,-0.04,-0.08
NQ,longonly,Ret_fwd6hr,12,3200,12.70,66,2.1,57.6,-0.61,0.77,0.19,0.19,11.67,-2.58,0.92,6.85,0.26,0.13,0.38
NQ,longonly,Ret_fwd6hr,10,3300,13.10,135,4.1,61.5,-0.80,0.78,0.17,0.17,10.37,-5.44,1.72,6.98,0.40,0.25,0.90
NQ,shortonly,Ret_fwd6hr,8,3300,13.10,102,3.1,43.1,-0.58,0.69,-0.03,-0.03,2.87,-2.72,-0.26,6.29,-0.10,-0.04,-0.11
NQ,shortonly,Ret_fwd6hr,10,3300,13.10,129,3.9,38.8,-0.83,0.84,-0.18,-0.18,3.48,-6.64,-1.84,25.38,-0.47,-0.07,-0.14
