Ticker,Direction,Target,Hour,NumObs,Years,NumTrades,TradeFreq,Win%,AvgLoss,AvgProfit,AvgPnL,Expectancy,BestDay,WorstDay,Annual%,MaxDD%,Sharpe,ProfitDD,UPI
NQ,longonly,Ret_fwd6hr,0,2750,10.91,226,8.2,53.1,-0.36,0.56,0.13,0.13,8.61,-2.04,2.67,4.08,0.66,0.65,1.60
NQ,shortonly,Ret_fwd6hr,0,2750,10.91,273,9.9,45.8,-0.28,0.27,-0.03,-0.03,1.58,-1.85,-0.80,12.24,-0.38,-0.07,-0.11
NQ,longonly,Ret_fwd6hr,17,2600,10.32,162,6.2,56.8,-0.44,0.34,0.00,0.00,3.34,-4.62,-0.01,10.13,0.01,-0.00,-0.00
NQ,shortonly,Ret_fwd6hr,17,2600,10.32,223,8.6,47.5,-0.24,0.27,0.00,0.00,2.63,-1.58,0.08,3.79,0.05,0.02,0.05
NQ,longonly,Ret_fwd6hr,23,2800,11.11,163,5.8,53.4,-0.36,0.59,0.15,0.15,6.30,-2.73,2.15,5.23,0.62,0.41,2.58
NQ,shortonly,Ret_fwd6hr,23,2800,11.11,246,8.8,45.5,-0.25,0.26,-0.02,-0.02,1.42,-1.69,-0.42,8.38,-0.23,-0.05,-0.12
NQ,longonly,Ret_fwd6hr,2,2900,11.51,226,7.8,57.1,-0.33,0.44,0.12,0.11,3.38,-2.01,2.26,3.11,0.83,0.73,1.89
NQ,shortonly,Ret_fwd6hr,2,2900,11.51,249,8.6,49.8,-0.29,0.26,-0.02,-0.02,1.34,-1.76,-0.43,8.87,-0.22,-0.05,-0.08
NQ,longonly,Ret_fwd6hr,6,3200,12.70,208,6.5,58.7,-0.64,0.60,0.09,0.09,4.63,-4.60,1.42,6.25,0.40,0.23,0.57
NQ,longonly,Ret_fwd6hr,4,3250,12.90,295,9.1,48.5,-0.54,0.50,-0.04,-0.04,3.98,-4.43,-0.90,15.19,-0.22,-0.06,-0.13
NQ,shortonly,Ret_fwd6hr,4,3250,12.90,272,8.4,47.4,-0.39,0.45,0.01,0.01,2.12,-3.60,0.11,12.48,0.05,0.01,0.03
NQ,shortonly,Ret_fwd6hr,6,3200,12.70,247,7.7,45.7,-0.59,0.57,-0.06,-0.06,2.45,-2.93,-1.16,15.83,-0.32,-0.07,-0.18
NQ,longonly,Ret_fwd6hr,8,3300,13.10,269,8.2,53.2,-0.70,0.60,-0.01,-0.01,5.76,-4.08,-0.26,9.55,-0.04,-0.03,-0.06
NQ,longonly,Ret_fwd6hr,14,3100,12.30,166,5.4,59.6,-0.43,0.55,0.16,0.16,2.65,-3.42,2.13,7.04,0.82,0.30,1.24
NQ,shortonly,Ret_fwd6hr,8,3300,13.10,329,10.0,48.3,-0.50,0.60,0.03,0.03,3.24,-2.77,0.70,9.43,0.20,0.07,0.19
NQ,shortonly,Ret_fwd6hr,14,3100,12.30,243,7.8,48.1,-0.46,0.40,-0.05,-0.05,3.14,-4.80,-0.96,16.46,-0.29,-0.06,-0.11
NQ,longonly,Ret_fwd6hr,16,3100,12.30,304,9.8,55.6,-0.51,0.40,-0.00,-0.00,3.19,-5.19,-0.12,23.39,-0.01,-0.01,-0.01
NQ,shortonly,Ret_fwd6hr,16,3100,12.30,224,7.2,46.0,-0.27,0.31,-0.00,-0.00,4.54,-1.19,-0.05,5.52,-0.01,-0.01,-0.02
NQ,longonly,Ret_fwd6hr,12,3200,12.70,258,8.1,56.6,-0.68,0.57,0.02,0.02,11.67,-6.99,0.37,10.88,0.10,0.03,0.08
NQ,longonly,Ret_fwd6hr,21,2900,11.51,190,6.6,59.5,-0.22,0.30,0.09,0.09,2.10,-1.00,1.51,1.84,0.90,0.82,2.31
NQ,shortonly,Ret_fwd6hr,21,2900,11.51,233,8.0,49.4,-0.21,0.26,0.02,0.02,2.51,-0.97,0.40,2.59,0.26,0.16,0.37
NQ,shortonly,Ret_fwd6hr,10,3300,13.10,267,8.1,44.9,-0.79,0.88,-0.04,-0.04,5.13,-6.64,-0.97,26.72,-0.14,-0.04,-0.08
NQ,longonly,Ret_fwd6hr,10,3300,13.10,186,5.6,53.8,-0.57,0.57,0.04,0.04,4.79,-3.45,0.57,9.95,0.19,0.06,0.11
NQ,longonly,Ret_fwd6hr,19,2950,11.71,240,8.1,59.6,-0.28,0.32,0.08,0.08,1.92,-3.94,1.63,4.09,0.71,0.40,2.33
NQ,shortonly,Ret_fwd6hr,12,3200,12.70,266,8.3,46.2,-0.40,0.57,0.05,0.05,5.37,-1.67,1.00,8.80,0.31,0.11,0.29
NQ,shortonly,Ret_fwd6hr,19,2950,11.71,295,10.0,45.8,-0.22,0.28,0.01,0.01,5.36,-2.53,0.27,7.13,0.12,0.04,0.09
