Ticker,Direction,Target,Hour,NumObs,Years,NumTrades,TradeFreq,Win%,AvgLoss,AvgProfit,AvgPnL,Expectancy,BestDay,WorstDay,Annual%,MaxDD%,Sharpe,ProfitDD,UPI
GC,shortonly,Ret_fwd6hr,14,2400,9.52,296,12.3,45.6,-0.28,0.27,-0.03,-0.03,1.87,-1.48,-0.97,12.82,-0.41,-0.08,-0.19
GC,longonly,Ret_fwd6hr,14,2400,9.52,273,11.4,55.7,-0.21,0.31,0.08,0.08,2.50,-2.43,2.35,3.11,1.04,0.75,2.95
GC,shortonly,Ret_fwd6hr,12,2700,10.71,301,11.1,47.2,-0.33,0.28,-0.04,-0.04,2.75,-2.77,-1.05,12.83,-0.41,-0.08,-0.18
GC,shortonly,Ret_fwd6hr,10,2700,10.71,289,10.7,49.8,-0.39,0.36,-0.02,-0.02,1.66,-2.91,-0.54,16.31,-0.18,-0.03,-0.06
GC,longonly,Ret_fwd6hr,10,2700,10.71,268,9.9,44.4,-0.34,0.31,-0.05,-0.05,1.18,-2.17,-1.37,14.37,-0.61,-0.10,-0.14
NQ,longonly,Ret_fwd6hr,0,2700,10.71,288,10.7,56.6,-0.35,0.50,0.13,0.13,8.61,-1.57,3.49,5.24,0.83,0.66,2.27
NQ,shortonly,Ret_fwd6hr,0,2700,10.71,282,10.4,48.9,-0.28,0.36,0.03,0.03,2.20,-1.74,0.86,3.48,0.38,0.25,0.68
GC,shortonly,Ret_fwd6hr,17,2700,10.71,311,11.5,44.1,-0.29,0.28,-0.04,-0.04,1.44,-1.22,-1.13,12.66,-0.54,-0.09,-0.16
GC,longonly,Ret_fwd6hr,12,2700,10.71,288,10.7,50.7,-0.25,0.27,0.02,0.01,1.54,-1.47,0.39,4.76,0.21,0.08,0.20
GC,longonly,Ret_fwd6hr,17,2700,10.71,276,10.2,58.3,-0.23,0.28,0.07,0.07,1.18,-1.06,1.72,3.12,1.03,0.55,1.94
