bootstrap_fraction,sharpe_ratio,total_pnl,hit_rate,edge,total_trades,trading_frequency,runtime
0.3,-0.05969754186347786,-3.7162599999999983,0.4864864864864865,0.009637834102243226,74,0.025570145127850726,5.6897478103637695
0.475,0.06798685312211793,8.22781,0.5359116022099447,0.05906294982570143,181,0.06254319281271596,6.694685935974121
0.65,0.13340984141605755,16.150080000000003,0.5231316725978647,0.04628302021362146,281,0.09709744298548721,6.681981086730957
0.825,0.17529765227233077,25.878890000000006,0.5181058495821727,0.04125719719792936,359,0.1240497581202488,6.96802544593811
1.0,0.15275611391078317,23.57323,0.511002444987775,0.03415379260353174,409,0.14132688320663442,6.993515491485596
