parameter,value,sharpe_ratio,total_pnl,hit_rate,edge,total_trades,trading_frequency,runtime_seconds
vol_window,50,0.34895128202125575,20.83818,0.5833333333333334,0.10505722961924785,144,0.050455501051156273,3.8744025230407715
vol_window,112,0.2367347611090726,11.825470000000003,0.625,0.14828005559416263,96,0.03335649756775538,4.113353967666626
vol_window,175,0.23077190546330043,10.698820000000001,0.5576923076923077,0.07973087518542066,104,0.03581267217630854,4.048858404159546
vol_window,237,0.07191323570673533,2.203290000000001,0.5357142857142857,0.06371975019516002,28,0.009562841530054645,4.009318113327026
vol_window,300,0.14842752204187104,3.30868,0.625,0.1523300630693763,24,0.008409250175192713,3.7184534072875977
