datetime,equity,returns,trade_index
31,0.9860083732028876,-0.013991626797112402,0
73,0.9816185293182238,-0.004452136517263207,1
90,1.0054508137991214,0.02427856012197557,2
93,0.9808519558702391,-0.024465501038220712,3
96,0.9950101725751842,0.014434611278705647,4
123,0.9856019061884673,-0.009455447437655204,5
140,0.994153262836052,0.008676278519645402,6
164,0.9819579677920393,-0.012267017068598467,7
201,0.9598879790211332,-0.0224754923273661,8
213,0.9628353227288945,0.003070507988616312,9
239,0.9544293574630296,-0.0087304288359929,10
257,0.9362948060188048,-0.019000412447945193,11
269,0.9600733394936213,0.025396417156178172,12
292,0.9956743491546526,0.03708155220705184,13
347,0.9910744581310633,-0.004619874989743986,14
370,1.0176036181463675,0.026768079630799857,15
410,1.0058195595688268,-0.011580205069441574,16
424,1.0242100950715145,0.018284129919457204,17
447,1.009618789751479,-0.01424639865419091,18
485,1.0394096651022193,0.029507053209730155,19
494,0.9962287057120953,-0.04154373471780007,20
498,1.0496492189056739,0.05362274032787891,21
508,1.0693761111310345,0.01879379498412552,22
565,1.086419843863622,0.01593801521764035,23
577,1.0910253823694869,0.004239188497778566,24
589,1.0845610815456594,-0.005924977482914562,25
645,1.1035604431652726,0.01751801898749336,26
664,1.1009667383804032,-0.0023503060488740623,27
672,1.1268108482884427,0.023474015160583325,28
698,1.1392633719454606,0.011051121557742018,29
709,1.179366247732625,0.035200706680039044,30
770,1.1776501012792857,-0.0014551429266681784,31
814,1.2049093728858256,0.023147173831113314,32
819,1.2320864490616363,0.022555286552979774,33
844,1.280636764974516,0.039404958921393736,34
847,1.2592286840706344,-0.016716747081915662,35
849,1.2479369657493886,-0.00896717051008055,36
850,1.2284991773383216,-0.015575937683194364,37
941,1.261597386325257,0.026941987098962665,38
963,1.241079440436526,-0.016263465754708904,39
983,1.247238901695597,0.004962987104922514,40
