datetime,equity,returns,trade_index
2023-01-04 10:59:00,0.984819191055827,-0.015180808944172966,0
2023-01-04 11:55:00,0.9854782078514742,0.0006691754198460513,1
2023-01-04 12:36:00,0.9732224401636285,-0.012436366010127826,2
2023-01-04 14:19:00,0.986874280276186,0.014027461296784456,3
2023-01-04 15:33:00,1.0072248696994146,0.02062125827976107,4
2023-01-04 17:58:00,1.0094114073538059,0.002170853520568768,5
2023-01-04 19:18:00,1.0187510133593252,0.009252526707622048,6
2023-01-04 22:51:00,1.0619023712559341,0.0423571189925178,7
2023-01-05 00:00:00,1.0369985676758648,-0.02345206513722632,8
2023-01-05 02:03:00,1.0114164745898382,-0.024669362025602114,9
2023-01-05 04:17:00,1.0254751211228599,0.013899958015537497,10
2023-01-05 11:34:00,1.0653977461642856,0.03893085675029531,11
