date,time,prediction,actual,signal,pnl
2014-06-03 16:50:00,16:50,-0.20570844416758632,-0.0027,1,0.0027
2014-06-04 16:50:00,16:50,0.27567652781991603,0.0188,0,0.0
2014-06-05 16:50:00,16:50,0.22360314307654078,0.008,0,0.0
2014-06-06 16:50:00,16:50,-0.19863055473546085,-0.0293,1,0.0293
2014-06-09 16:50:00,16:50,-0.054027175721842374,0.1757,1,-0.1757
2014-06-10 16:50:00,16:50,-0.14776268781168878,0.1587,1,-0.1587
2014-06-11 16:50:00,16:50,0.2532501512670041,0.0,0,0.0
2014-06-12 16:50:00,16:50,0.09294664948625032,-0.0052,1,0.0052
2014-06-13 16:50:00,16:50,-0.22409321247190978,0.3498,1,-0.3498
2014-06-16 16:50:00,16:50,0.38277763928866954,-0.2358,0,0.0
2014-06-17 16:50:00,16:50,-0.168230215974745,-0.1993,1,0.1993
2014-06-18 16:50:00,16:50,-0.20087618234950722,-0.0026,1,0.0026
2014-06-19 16:50:00,16:50,-0.22266149500811808,-0.4721,1,0.4721
2014-06-20 16:50:00,16:50,-0.20988945313068644,-0.2002,1,0.2002
2014-06-23 16:50:00,16:50,-0.21190308679767667,-0.1492,1,0.1492
2014-06-24 16:50:00,16:50,-0.2114681061343027,-0.4651,1,0.4651
2014-06-25 16:50:00,16:50,0.3709093709995221,-0.2147,0,0.0
2014-06-26 16:50:00,16:50,0.09185903461749464,0.1721,1,-0.1721
2014-06-27 16:50:00,16:50,-0.16306033368612746,-0.0582,1,0.0582
2014-06-30 16:50:00,16:50,-0.22266149500811808,0.0025,1,-0.0025
2014-07-01 16:50:00,16:50,0.1787751078354578,-0.0126,0,0.0
2014-07-02 16:50:00,16:50,0.3484654318393819,-0.2561,0,0.0
2014-07-03 16:50:00,16:50,0.2368179050464003,0.005,0,0.0
2014-07-07 16:50:00,16:50,-0.2347497210015633,-0.1691,1,0.1691
2014-07-08 16:50:00,16:50,-0.3502535897618539,0.298,1,-0.298
2014-07-09 16:50:00,16:50,-0.2070007890993329,0.1556,1,-0.1556
2014-07-10 16:50:00,16:50,-0.16306033368612746,0.1646,1,-0.1646
2014-07-11 16:50:00,16:50,-0.19642612751945498,-0.4927,1,0.4927
2014-07-14 16:50:00,16:50,-0.22136874193347236,0.0204,1,-0.0204
2014-07-15 16:50:00,16:50,-0.22119093808481885,0.1519,1,-0.1519
2014-07-16 16:50:00,16:50,0.3640808840474452,0.2616,0,0.0
2014-07-17 16:50:00,16:50,-0.2287083317754266,-0.197,1,0.197
2014-07-18 16:50:00,16:50,-0.25195818376414647,0.0051,1,-0.0051
2014-07-21 16:50:00,16:50,-0.22040584030180463,-0.0152,1,0.0152
2014-07-22 16:50:00,16:50,0.30022453583197517,0.0204,0,0.0
2014-07-23 16:50:00,16:50,-0.1815807002783131,-0.5312,1,0.5312
2014-07-24 16:50:00,16:50,-0.33400912722427967,-0.1649,1,0.1649
2014-07-25 16:50:00,16:50,-0.39256723310794817,-0.2244,1,0.2244
2014-07-28 16:50:00,16:50,-0.2037045231393888,0.1457,1,-0.1457
2014-07-29 16:50:00,16:50,-0.2253631857830408,0.0077,1,-0.0077
2014-07-30 16:50:00,16:50,-0.2666411526912073,-0.1233,1,0.1233
2014-07-31 16:50:00,16:50,-0.2666411526912073,0.0545,1,-0.0545
2014-08-01 16:50:00,16:50,0.2368179050464003,-0.0566,0,0.0
2014-08-04 16:50:00,16:50,0.06434103632924809,0.0776,1,-0.0776
2014-08-05 16:50:00,16:50,-0.22266149500811808,0.1241,1,-0.1241
2014-08-06 16:50:00,16:50,-0.16387641661936594,0.0612,1,-0.0612
2014-08-07 16:50:00,16:50,-0.17262408968474063,0.2969,1,-0.2969
2014-08-08 16:50:00,16:50,-0.22136874193347236,-0.244,1,0.244
2014-08-11 16:50:00,16:50,-0.19825631947312036,-0.1527,1,0.1527
2014-08-12 16:50:00,16:50,0.3597979607592212,-0.0076,0,0.0
2014-08-13 16:50:00,16:50,-0.15159333350663626,0.0457,1,-0.0457
2014-08-14 16:50:00,16:50,-0.08983054844023781,-0.0913,1,0.0913
2014-08-15 16:50:00,16:50,-0.05231121994187956,-0.337,1,0.337
2014-08-18 16:50:00,16:50,-0.10240767551192548,0.1103,1,-0.1103
2014-08-19 16:50:00,16:50,0.23571661551219106,-0.0489,0,0.0
2014-08-20 16:50:00,16:50,0.21743217980884608,-0.3532,0,0.0
2014-08-21 16:50:00,16:50,-0.09391222753810169,0.167,1,-0.167
2014-08-22 16:50:00,16:50,-0.1825218325203412,-0.3303,1,0.3303
2014-08-25 16:50:00,16:50,0.21997255343486707,0.227,0,0.0
2014-08-26 16:50:00,16:50,-0.028951165932377593,0.1794,1,-0.1794
2014-08-27 16:50:00,16:50,0.23599947495277326,0.2363,0,0.0
2014-08-28 16:50:00,16:50,0.23910043031395312,0.0723,0,0.0
2014-08-29 16:50:00,16:50,0.11260141134217762,-0.0155,1,0.0155
2014-09-02 16:50:00,16:50,-0.04647615232377729,0.1001,1,-0.1001
2014-09-03 16:50:00,16:50,-0.32052471516277686,0.2519,1,-0.2519
2014-09-04 16:50:00,16:50,0.22315638340022617,0.132,0,0.0
2014-09-05 16:50:00,16:50,-0.08353588066562523,0.1129,1,-0.1129
2014-09-08 16:50:00,16:50,-0.06359808473071912,-0.0026,1,0.0026
2014-09-09 16:50:00,16:50,-0.003786988766356899,0.0717,1,-0.0717
2014-09-10 16:50:00,16:50,-0.12683527397447095,-0.064,1,0.064
2014-09-11 16:50:00,16:50,-0.028951165932377593,-0.494,1,0.494
2014-09-12 16:50:00,16:50,0.21743217980884608,0.3468,0,0.0
2014-09-15 16:50:00,16:50,0.19759132699032303,0.2756,0,0.0
2014-09-16 16:50:00,16:50,0.06484176844870085,0.1267,1,-0.1267
2014-09-17 16:50:00,16:50,0.21181666597159832,0.049,0,0.0
2014-09-18 16:50:00,16:50,-0.05231121994187956,0.2013,1,-0.2013
