date,prediction,probability,actual_profitable,target_value,target_value_normalized,test_end_idx,Ret_0-1hr_value,Ret_1-2hr_value,Ret_2-4hr_value,Ret_4-8hr_value,Ret_8-16hr_value,Ret_16-32hr_value,Ret_32-64hr_value,Ret_64-128hr_value
2012-09-25 09:55:00,0,-0.10099861777285905,0,-1.153,-3.481240089335692,2350,-1.1592369104845446,1.9516081701699513,1.7018112325651158,-1.0527025873640319,0.029852963149681243,0.1695593051801033,-0.5187937934151674,-0.3724042458472764
2012-09-26 09:55:00,1,0.16055777915310251,0,-0.332,-1.4889485151799742,2350,-1.0527025873640319,-0.209720530982069,-1.0527025873640319,-0.6486954179891116,-0.06967992063798975,-2.8491287993621155,-0.1695593051801033,-0.209720530982069
2012-09-27 09:55:00,1,0.19541608794702803,1,0.664,1.8210870843225748,2350,-1.1868050007035709,0.33135713595444255,0.06967992063798975,-0.5831462853456169,1.9980959022258833,-1.664162812123347,-2.259567707910355,-0.604854573414267
2012-09-28 09:55:00,0,-0.3801136536823516,1,0.175,0.25005100423413407,2350,-1.7404661748405046,-1.0527025873640319,-2.6714926053684125,-1.3312345839368633,0.5615708227712259,1.331234583936863,-0.8782896136955413,-1.9980959022258835
2012-10-01 09:55:00,1,0.19214691794704353,0,-0.295,-1.3925249108705267,2350,0.10956220251152649,1.6274564179367785,-0.4764761437513531,4.1896547420264225,-1.7801986468269788,-1.5916332878005937,1.5566397268671297,-2.0462893343629354
2012-10-02 09:55:00,0,0.01141405240037325,0,-0.191,-1.0527025873640319,2350,-1.026920360211993,-0.4554755286828257,0.670841423045647,1.9066894359020323,0.4137639109228596,1.3013949173334043,-2.3817224135527697,-1.4240346891027376
2012-10-03 09:55:00,0,-0.29705485877728893,1,0.487,1.4889485151799735,2350,-2.4477671028385437,1.5916332878005937,-0.35184401666906684,0.8307685584359932,-0.7610978424684531,-0.009950330853168038,0.14953173397096375,-0.830768558435993
2012-10-04 09:55:00,0,0.0763310749552353,1,0.396,1.1320602227356498,2350,-0.06967992063798975,0.4975803970159698,1.2431935174792175,-0.49758039701597007,1.4889485151799735,1.3925249108705269,-0.049761509559063846,0.2905848321097421
2012-10-05 09:55:00,0,0.09546299938447043,0,-0.512,-2.0963433524824393,2350,0.784118958765672,2.517696472610991,1.7404661748405046,-0.4554755286828257,0.5401219932544216,0.47647614375135283,1.7404661748405046,-0.8544153281560677
2012-10-08 09:55:00,0,-0.04968430120167938,0,0.069,-0.12953405219190234,2350,0.049761509559063846,0.47647614375135283,-0.009950330853168038,-1.1320602227356498,-1.3312345839368633,-0.39304258810960724,1.5916332878005937,0.5831462853456166
2012-10-09 09:55:00,0,-0.2666631349181153,0,-0.743,-2.6714926053684125,2350,-2.592051287239328,1.331234583936863,1.2431935174792175,-1.7801986468269788,1.3925249108705269,-0.830768558435993,-0.5401219932544216,1.214783720430152
2012-10-10 09:55:00,1,0.19426935356771524,0,-0.436,-1.821087084322575,2350,-0.9762734364758656,-0.5187937934151674,2.592051287239328,-0.784118958765672,-0.951382051685425,-2.517696472610991,-1.026920360211993,1.331234583936863
2012-10-11 09:55:00,1,0.20427944984321894,0,-0.47,-1.951608170169951,2350,0.8544153281560676,2.319114394945256,-0.5401219932544216,2.046289334362935,1.5566397268671297,-2.4477671028385437,-2.4477671028385437,0.08961215868968694
2012-10-12 09:55:00,0,0.08563497548182489,0,-0.611,-2.259567707910355,2350,0.33135713595444255,-1.5916332878005937,2.849128799362116,-0.5401219932544216,0.2905848321097421,0.5831462853456166,-1.7404661748405046,-2.0963433524824393
2012-10-15 09:55:00,1,0.20427944984321894,1,0.702,1.9980959022258833,2350,-1.0527025873640319,-0.8782896136955413,0.4554755286828257,2.259567707910355,0.14953173397096375,-1.664162812123347,0.1695593051801033,-2.592051287239328
2012-10-16 09:55:00,0,0.09931029857024867,1,0.346,0.9513820516854253,2350,1.2431935174792175,-0.1695593051801033,3.4812400893356927,-0.209720530982069,0.6048545734142672,2.0963433524824397,-1.1868050007035709,-2.259567707910355
2012-10-17 09:55:00,0,0.07496830408603533,1,0.224,0.5615708227712259,2350,0.08961215868968694,0.8544153281560676,1.4889485151799735,0.761097842468453,-1.6274564179367788,2.046289334362935,1.6641628121233465,-1.1868050007035709
2012-10-18 09:55:00,0,-0.23566895036249208,0,-0.086,-0.5187937934151674,2350,0.8073395480856002,-0.8073395480856003,-1.821087084322575,-0.10956220251152626,-0.10956220251152626,1.6641628121233465,1.5566397268671297,0.47647614375135283
2012-10-19 09:55:00,0,-0.23433753566956944,0,-1.211,-3.6686767467964168,2350,-1.951608170169951,0.189620859275566,-0.35184401666906684,-0.8073395480856003,-0.009950330853168038,-1.001448540214462,0.761097842468453,1.4889485151799735
2012-10-22 09:55:00,1,0.1547425913261285,1,0.088,0.009950330853168259,2350,0.8544153281560676,-0.8782896136955413,-1.951608170169951,0.5187937934151677,1.6274564179367785,-4.189654742026425,-0.8544153281560677,3.060270794691562
2012-10-23 09:55:00,0,-0.3779601261329806,0,-0.142,-0.8544153281560677,2350,-1.8632184332102002,-1.1592369104845446,-4.189654742026425,-2.7568403652716422,-1.7018112325651156,0.3109389346160484,-2.949688335052584,0.761097842468453
2012-10-24 09:55:00,1,0.20237257034450307,0,-0.514,-1.9980959022258835,2350,-0.7382676158404148,1.4240346891027376,0.8782896136955414,-0.6267020811517924,1.3925249108705269,-3.1832486472250494,0.009950330853168259,-2.3817224135527697
