Ticker,Direction,Target,Hour,NumObs,Years,NumTrades,TradeFreq,Win%,AvgLoss,AvgProfit,AvgPnL,Expectancy,BestDay,WorstDay,Annual%,MaxDD%,Sharpe,ProfitDD,UPI
NQ,longonly,Ret_fwd6hr,0,2750,10.91,336,12.2,56.2,-0.38,0.44,0.09,0.08,8.61,-1.57,2.58,6.31,0.61,0.41,0.97
NQ,shortonly,Ret_fwd6hr,0,2750,10.91,291,10.6,47.8,-0.26,0.29,0.00,0.00,2.20,-1.65,0.05,8.11,0.03,0.01,0.01
NQ,shortonly,Ret_fwd6hr,2,2900,11.51,293,10.1,51.5,-0.24,0.27,0.02,0.02,1.48,-1.62,0.54,4.67,0.30,0.12,0.34
NQ,longonly,Ret_fwd6hr,2,2900,11.51,317,10.9,51.7,-0.42,0.48,0.05,0.05,3.38,-2.71,1.32,7.85,0.39,0.17,0.44
NQ,longonly,Ret_fwd6hr,23,2800,11.11,318,11.4,58.2,-0.37,0.46,0.12,0.11,6.30,-2.73,3.29,5.23,0.83,0.63,3.44
NQ,shortonly,Ret_fwd6hr,23,2800,11.11,298,10.6,46.3,-0.28,0.33,0.00,-0.00,1.87,-3.19,0.02,6.12,0.02,0.00,0.01
NQ,shortonly,Ret_fwd6hr,17,2600,10.32,267,10.3,50.2,-0.27,0.30,0.02,0.02,3.89,-3.54,0.44,4.38,0.18,0.10,0.21
NQ,longonly,Ret_fwd6hr,17,2600,10.32,279,10.7,57.0,-0.44,0.38,0.03,0.03,3.34,-4.62,0.74,10.13,0.22,0.07,0.32
NQ,shortonly,Ret_fwd6hr,14,3100,12.30,328,10.6,46.6,-0.46,0.55,0.01,0.01,4.30,-4.80,0.18,11.09,0.07,0.02,0.03
NQ,longonly,Ret_fwd6hr,14,3100,12.30,288,9.3,56.9,-0.51,0.58,0.11,0.11,3.31,-5.90,2.58,6.06,0.65,0.43,1.90
NQ,longonly,Ret_fwd6hr,6,3200,12.70,316,9.9,56.0,-0.67,0.61,0.05,0.04,4.63,-4.60,1.07,12.33,0.25,0.09,0.37
NQ,longonly,Ret_fwd6hr,19,2950,11.71,349,11.8,54.7,-0.29,0.33,0.05,0.05,1.92,-3.94,1.46,6.05,0.54,0.24,0.80
NQ,shortonly,Ret_fwd6hr,19,2950,11.71,335,11.4,43.3,-0.22,0.33,0.02,0.02,5.36,-2.53,0.49,8.35,0.18,0.06,0.11
NQ,shortonly,Ret_fwd6hr,16,3100,12.30,348,11.2,45.1,-0.30,0.31,-0.03,-0.03,4.54,-2.35,-0.79,14.25,-0.28,-0.06,-0.10
NQ,shortonly,Ret_fwd6hr,6,3200,12.70,346,10.8,45.4,-0.54,0.58,-0.04,-0.04,2.45,-2.93,-1.04,13.15,-0.25,-0.08,-0.13
NQ,shortonly,Ret_fwd6hr,21,2900,11.51,340,11.7,47.1,-0.22,0.23,-0.01,-0.01,3.89,-2.00,-0.21,7.92,-0.09,-0.03,-0.06
NQ,longonly,Ret_fwd6hr,16,3100,12.30,336,10.8,59.5,-0.33,0.32,0.06,0.06,2.49,-2.18,1.61,4.90,0.66,0.33,0.86
NQ,longonly,Ret_fwd6hr,21,2900,11.51,341,11.8,63.0,-0.30,0.36,0.11,0.11,3.51,-2.91,3.40,3.37,1.10,1.01,7.31
NQ,longonly,Ret_fwd6hr,4,3250,12.90,357,11.0,49.0,-0.50,0.51,-0.00,-0.00,3.98,-4.43,-0.15,12.33,-0.02,-0.01,-0.02
NQ,shortonly,Ret_fwd6hr,12,3200,12.70,348,10.9,48.3,-0.43,0.65,0.09,0.09,9.36,-2.79,2.37,7.12,0.51,0.33,0.74
NQ,shortonly,Ret_fwd6hr,4,3250,12.90,316,9.7,47.8,-0.44,0.52,0.02,0.02,2.37,-3.60,0.38,9.69,0.13,0.04,0.10
NQ,longonly,Ret_fwd6hr,12,3200,12.70,350,10.9,58.3,-0.72,0.68,0.09,0.09,11.67,-6.99,2.44,12.79,0.42,0.19,0.86
NQ,shortonly,Ret_fwd6hr,10,3300,13.10,363,11.0,45.7,-0.71,0.91,0.03,0.03,5.13,-6.64,0.69,11.24,0.14,0.06,0.14
NQ,longonly,Ret_fwd6hr,10,3300,13.10,350,10.6,60.0,-0.69,0.68,0.13,0.13,10.37,-5.44,3.34,7.07,0.61,0.47,1.49
NQ,longonly,Ret_fwd6hr,8,3300,13.10,359,10.9,55.7,-0.73,0.79,0.12,0.12,11.28,-2.84,3.14,8.29,0.52,0.38,1.28
NQ,shortonly,Ret_fwd6hr,8,3300,13.10,341,10.3,47.8,-0.53,0.67,0.04,0.04,2.87,-2.72,0.99,11.98,0.26,0.08,0.24
