datetime,bar_index,trade_type,price,size,signal_value,exec_bars,pnl,cumulative_profit,is_entry,is_exit
31,31,SELL,94.11957231098413,1.0,-1.0,1,0.0,0.0,True,False
73,73,BUY,93.11440359354584,2.0,1.0,1,1.0051687174382806,1.0051687174382806,False,True
90,90,SELL,91.95559454502394,2.0,-1.0,1,-1.1588090485219027,-0.15364033108362207,False,True
93,93,BUY,92.31164322916952,2.0,1.0,1,-0.356048684145577,-0.5096890152291991,False,True
96,96,SELL,90.33440370034562,2.0,-1.0,1,-1.977239528823901,-2.4869285440531,False,True
123,123,BUY,92.7593444752805,2.0,1.0,1,-2.424940774934882,-4.911869318987982,False,True
140,140,SELL,89.59527052241907,2.0,-1.0,1,-3.164073952861429,-8.075943271849411,False,True
164,164,BUY,90.71523894248152,2.0,1.0,1,-1.119968420062449,-9.19591169191186,False,True
201,201,SELL,93.56592091627088,2.0,-1.0,1,2.8506819737893636,-6.345229718122496,False,True
213,213,BUY,101.80836025491764,2.0,1.0,1,-8.242439338646761,-14.587669056769258,False,True
239,239,SELL,99.8406292871762,2.0,-1.0,1,-1.9677309677414456,-16.555400024510703,False,True
257,257,BUY,102.85886817932688,2.0,1.0,1,-3.018238892150677,-19.57363891666138,False,True
269,269,SELL,96.42306967132106,2.0,-1.0,1,-6.435798508005817,-26.009437424667198,False,True
292,292,BUY,97.2908553940814,2.0,1.0,1,-0.8677857227603454,-26.877223147427543,False,True
347,347,SELL,104.26127716732545,2.0,-1.0,1,6.970421773244041,-19.9068013741835,False,True
370,370,BUY,104.971662335027,2.0,1.0,1,-0.7103851677015598,-20.61718654188506,False,True
410,410,SELL,109.1025030180516,2.0,-1.0,1,4.130840683024601,-16.48634585886046,False,True
424,424,BUY,116.32935970645462,2.0,1.0,1,-7.226856688403018,-23.713202547263478,False,True
447,447,SELL,112.13778821520836,2.0,-1.0,1,-4.191571491246265,-27.904774038509743,False,True
485,485,BUY,107.54009377228192,2.0,1.0,1,4.597694442926439,-23.307079595583303,False,True
494,494,SELL,107.69690779391834,2.0,-1.0,1,0.15681402163642133,-23.150265573946882,False,True
498,498,BUY,108.6225757009377,2.0,1.0,1,-0.9256679070193599,-24.075933480966242,False,True
508,508,SELL,105.61452544625982,2.0,-1.0,1,-3.008050254677883,-27.083983735644125,False,True
565,565,BUY,97.94129532699225,2.0,1.0,1,7.673230119267572,-19.410753616376553,False,True
577,577,SELL,93.1757855486158,2.0,-1.0,1,-4.76550977837644,-24.176263394752993,False,True
589,589,BUY,96.2784971341556,2.0,1.0,1,-3.1027115855397938,-27.278974980292787,False,True
645,645,SELL,99.40812855064532,2.0,-1.0,1,3.1296314164897154,-24.149343563803072,False,True
664,664,BUY,99.5111312417256,2.0,1.0,1,-0.10300269108027749,-24.25234625488335,False,True
672,672,SELL,97.78552474088082,2.0,-1.0,1,-1.7256065008447763,-25.977952755728126,False,True
698,698,BUY,97.19067464273613,2.0,1.0,1,0.5948500981446898,-25.383102657583436,False,True
709,709,SELL,93.96192090148226,2.0,-1.0,1,-3.2287537412538683,-28.611856398837304,False,True
770,770,BUY,95.98005000738344,2.0,1.0,1,-2.018129105901181,-30.629985504738485,False,True
814,814,SELL,98.37313588837264,2.0,-1.0,1,2.3930858809892044,-28.23689962374928,False,True
819,819,BUY,99.1775742672084,2.0,1.0,1,-0.804438378835755,-29.041338002585036,False,True
844,844,SELL,101.9479280578802,2.0,-1.0,1,2.7703537906718054,-26.27098421191323,False,True
847,847,BUY,102.94802950567724,2.0,1.0,1,-1.0001014477970358,-27.271085659710266,False,True
849,849,SELL,104.82382957474351,2.0,-1.0,1,1.8758000690662726,-25.395285590643994,False,True
850,850,BUY,104.27770061454282,2.0,1.0,1,0.54612896020069,-24.849156630443304,False,True
941,941,SELL,126.87290344942237,2.0,-1.0,1,22.595202834879544,-2.25395379556376,False,True
963,963,BUY,134.23380778022505,2.0,1.0,1,-7.360904330802683,-9.614858126366443,False,True
983,983,SELL,128.49883867634637,2.0,-1.0,1,-5.734969103878683,-15.349827230245126,False,True
