Ticker,Direction,Target,Hour,NumObs,Years,NumTrades,TradeFreq,Win%,AvgLoss,AvgProfit,AvgPnL,Expectancy,BestDay,WorstDay,Annual%,MaxDD%,Sharpe,ProfitDD,UPI
NQ,longonly,Ret_fwd6hr,0,2750,10.91,554,20.1,55.4,-0.34,0.41,0.08,0.08,8.61,-2.04,3.82,5.41,0.81,0.71,1.92
NQ,shortonly,Ret_fwd6hr,0,2750,10.91,581,21.1,46.6,-0.28,0.30,-0.01,-0.01,2.20,-1.69,-0.56,10.26,-0.16,-0.05,-0.10
NQ,longonly,Ret_fwd6hr,2,2900,11.51,568,19.6,52.8,-0.39,0.41,0.03,0.03,3.59,-2.71,1.58,6.84,0.39,0.23,0.61
NQ,shortonly,Ret_fwd6hr,2,2900,11.51,563,19.4,51.2,-0.26,0.26,0.01,0.01,1.54,-1.28,0.45,4.18,0.19,0.11,0.22
NQ,shortonly,Ret_fwd6hr,23,2800,11.11,597,21.3,45.9,-0.28,0.30,-0.01,-0.01,1.87,-3.19,-0.75,11.89,-0.22,-0.06,-0.10
NQ,longonly,Ret_fwd6hr,23,2800,11.11,552,19.7,54.3,-0.33,0.42,0.08,0.08,6.30,-2.73,3.97,5.23,0.88,0.76,3.40
NQ,longonly,Ret_fwd6hr,17,2600,10.32,535,20.6,55.1,-0.39,0.35,0.02,0.02,3.34,-4.62,0.95,12.95,0.24,0.07,0.30
NQ,shortonly,Ret_fwd6hr,17,2600,10.32,549,21.1,47.5,-0.27,0.31,0.01,0.00,5.08,-3.54,0.24,10.93,0.08,0.02,0.04
NQ,longonly,Ret_fwd6hr,6,3200,12.70,654,20.4,55.8,-0.64,0.64,0.08,0.08,5.01,-4.62,3.76,9.83,0.58,0.38,1.04
NQ,longonly,Ret_fwd6hr,19,2950,11.71,625,21.2,55.0,-0.27,0.30,0.04,0.04,2.83,-3.94,2.23,4.71,0.65,0.47,1.42
NQ,longonly,Ret_fwd6hr,21,2900,11.51,632,21.8,61.9,-0.30,0.30,0.07,0.07,3.51,-3.90,4.09,7.10,1.08,0.58,6.00
NQ,shortonly,Ret_fwd6hr,21,2900,11.51,588,20.3,45.1,-0.21,0.21,-0.02,-0.02,2.36,-2.00,-1.02,13.67,-0.44,-0.07,-0.16
NQ,shortonly,Ret_fwd6hr,6,3200,12.70,654,20.4,47.6,-0.55,0.61,0.01,0.01,3.11,-2.93,0.12,9.27,0.05,0.01,0.03
NQ,shortonly,Ret_fwd6hr,19,2950,11.71,614,20.8,46.1,-0.22,0.32,0.03,0.03,5.36,-2.53,1.64,6.26,0.44,0.26,0.80
NQ,shortonly,Ret_fwd6hr,16,3100,12.30,644,20.8,46.1,-0.29,0.32,-0.01,-0.01,4.54,-2.35,-0.44,16.50,-0.11,-0.03,-0.06
NQ,longonly,Ret_fwd6hr,16,3100,12.30,634,20.5,56.2,-0.40,0.31,-0.00,-0.00,2.49,-4.36,-0.26,20.07,-0.04,-0.01,-0.03
NQ,longonly,Ret_fwd6hr,12,3200,12.70,656,20.5,58.1,-0.63,0.58,0.07,0.07,11.67,-6.99,3.56,13.46,0.53,0.26,1.10
NQ,longonly,Ret_fwd6hr,14,3100,12.30,600,19.4,53.7,-0.51,0.51,0.04,0.04,3.31,-5.90,1.72,10.51,0.34,0.16,0.42
NQ,shortonly,Ret_fwd6hr,12,3200,12.70,657,20.5,43.8,-0.40,0.54,0.01,0.01,3.75,-2.18,0.63,13.98,0.15,0.04,0.08
NQ,shortonly,Ret_fwd6hr,14,3100,12.30,632,20.4,47.2,-0.40,0.50,0.02,0.02,5.99,-4.80,1.10,9.54,0.24,0.12,0.24
NQ,longonly,Ret_fwd6hr,4,3250,12.90,687,21.1,50.4,-0.49,0.51,0.01,0.01,3.98,-4.43,0.50,20.42,0.12,0.02,0.07
NQ,longonly,Ret_fwd6hr,10,3300,13.10,625,18.9,59.4,-0.71,0.67,0.11,0.11,10.37,-5.44,5.08,11.61,0.73,0.44,2.39
NQ,shortonly,Ret_fwd6hr,10,3300,13.10,678,20.5,47.2,-0.67,0.82,0.03,0.03,5.13,-6.64,1.46,24.58,0.23,0.06,0.14
NQ,shortonly,Ret_fwd6hr,4,3250,12.90,629,19.4,48.0,-0.41,0.44,0.00,0.00,2.37,-3.60,-0.00,18.13,0.02,-0.00,-0.00
NQ,longonly,Ret_fwd6hr,8,3300,13.10,693,21.0,54.3,-0.70,0.70,0.06,0.06,11.28,-3.63,2.99,13.08,0.42,0.23,0.53
NQ,shortonly,Ret_fwd6hr,8,3300,13.10,670,20.3,44.5,-0.56,0.70,0.00,0.00,4.38,-2.92,-0.06,21.10,0.02,-0.00,-0.01
