Metric,Value
Total Permutations,78.0
Successful,78.0
Failed,0.0
Workers Used,31.0
Average Annual Return (%),0.32417962778049353
Median Annual Return (%),0.12670365974714048
Average Sharpe Ratio,0.12939822679360216
Average Profit/DD,0.09730126980072056
