date,Return,TradeFlag,NoneTradePrice,_perm_id,_ticker,_direction,_target,_hour
2018-02-12 20:50:00,1.0093,0,2.576,74,NG,longonly,Ret_fwd6hr,21
2018-02-13 20:50:00,-0.934,0,2.605333,74,NG,longonly,Ret_fwd6hr,21
2018-02-14 20:50:00,-2.2429,0,2.615667,74,NG,longonly,Ret_fwd6hr,21
2018-02-15 20:50:00,-0.9046,0,2.579333,74,NG,longonly,Ret_fwd6hr,21
2018-02-18 20:50:00,0.4111,0,2.594333,74,NG,longonly,Ret_fwd6hr,21
2018-02-19 20:50:00,1.074,0,2.607,74,NG,longonly,Ret_fwd6hr,21
2018-02-20 20:50:00,-0.5008,0,2.662333,74,NG,longonly,Ret_fwd6hr,21
2018-02-21 20:50:00,0.5249,0,2.667,74,NG,longonly,Ret_fwd6hr,21
2018-02-22 20:50:00,-1.0766,0,2.662667,74,NG,longonly,Ret_fwd6hr,21
2018-02-25 20:50:00,-0.0,0,2.693,74,NG,longonly,Ret_fwd6hr,21
2018-02-26 20:50:00,-0.8184,0,2.688,74,NG,longonly,Ret_fwd6hr,21
2018-02-27 20:50:00,-0.7563,0,2.688333,74,NG,longonly,Ret_fwd6hr,21
2018-02-28 20:50:00,-0.6992,0,2.669667,74,NG,longonly,Ret_fwd6hr,21
2018-03-01 20:50:00,-0.5051,0,2.705667,74,NG,longonly,Ret_fwd6hr,21
2018-03-04 20:50:00,-0.3952,0,2.699666,74,NG,longonly,Ret_fwd6hr,21
2018-03-05 20:50:00,-0.1353,0,2.710667,74,NG,longonly,Ret_fwd6hr,21
2018-03-06 20:50:00,0.4849,0,2.749666,74,NG,longonly,Ret_fwd6hr,21
2018-03-07 20:50:00,0.096,0,2.778333,74,NG,longonly,Ret_fwd6hr,21
2018-03-08 20:50:00,-0.6789,0,2.749667,74,NG,longonly,Ret_fwd6hr,21
2018-03-11 20:50:00,-0.0244,0,2.735667,74,NG,longonly,Ret_fwd6hr,21
2018-03-12 20:50:00,0.2513,0,2.786,74,NG,longonly,Ret_fwd6hr,21
2018-03-13 20:50:00,-0.7048,0,2.790667,74,NG,longonly,Ret_fwd6hr,21
2018-03-14 20:50:00,-0.0122,0,2.736333,74,NG,longonly,Ret_fwd6hr,21
2018-03-15 20:50:00,0.1491,0,2.682,74,NG,longonly,Ret_fwd6hr,21
2018-03-18 20:50:00,0.3726,0,2.684,74,NG,longonly,Ret_fwd6hr,21
2018-03-19 20:50:00,0.0251,0,2.656333,74,NG,longonly,Ret_fwd6hr,21
2018-03-20 20:50:00,-0.0124,0,2.677333,74,NG,longonly,Ret_fwd6hr,21
2018-03-21 20:50:00,-0.1367,0,2.681667,74,NG,longonly,Ret_fwd6hr,21
2018-03-22 20:50:00,-0.438,0,2.663667,74,NG,longonly,Ret_fwd6hr,21
2018-03-25 20:50:00,-0.1269,0,2.626333,74,NG,longonly,Ret_fwd6hr,21
2018-03-26 20:50:00,0.5363,0,2.672667,74,NG,longonly,Ret_fwd6hr,21
