Ticker,Direction,Target,Hour,NumObs,Years,NumTrades,TradeFreq,Win%,AvgLoss,AvgProfit,AvgPnL,Expectancy,BestDay,WorstDay,Annual%,MaxDD%,Sharpe,ProfitDD,UPI
ES,shortonly,Ret_fwd6hr,17,2650,10.52,295,11.1,49.5,-0.20,0.21,0.00,0.00,1.53,-1.55,0.09,6.63,0.06,0.01,0.04
ES,longonly,Ret_fwd6hr,17,2650,10.52,291,11.0,54.0,-0.52,0.34,-0.06,-0.06,3.06,-4.97,-1.69,19.91,-0.40,-0.09,-0.14
ES,longonly,Ret_fwd6hr,0,3150,12.50,376,11.9,57.2,-0.33,0.44,0.11,0.11,7.33,-6.14,3.37,9.87,0.77,0.34,3.24
ES,shortonly,Ret_fwd6hr,0,3150,12.50,336,10.7,48.5,-0.24,0.25,-0.00,-0.00,2.53,-2.03,-0.04,5.09,-0.01,-0.01,-0.02
ES,longonly,Ret_fwd6hr,2,3200,12.70,344,10.8,54.9,-0.41,0.40,0.04,0.03,2.95,-3.31,1.03,6.15,0.34,0.17,0.55
ES,shortonly,Ret_fwd6hr,2,3200,12.70,331,10.3,46.2,-0.20,0.22,-0.01,-0.01,1.28,-1.44,-0.18,5.03,-0.11,-0.04,-0.09
GC,longonly,Ret_fwd6hr,0,3000,11.90,304,10.1,50.0,-0.27,0.28,0.01,0.00,1.55,-1.95,0.14,3.60,0.08,0.04,0.09
GC,shortonly,Ret_fwd6hr,0,3000,11.90,336,11.2,45.8,-0.26,0.31,0.00,0.00,2.48,-2.60,0.04,5.69,0.03,0.01,0.02
ES,longonly,Ret_fwd6hr,4,3250,12.90,367,11.3,53.4,-0.37,0.37,0.03,0.03,4.83,-5.39,0.76,9.13,0.25,0.08,0.33
GC,longonly,Ret_fwd6hr,2,3050,12.10,345,11.3,50.7,-0.30,0.32,0.02,0.02,1.65,-1.56,0.50,4.75,0.24,0.11,0.30
GC,shortonly,Ret_fwd6hr,2,3050,12.10,338,11.1,50.6,-0.28,0.32,0.02,0.02,1.75,-2.21,0.63,7.05,0.30,0.09,0.40
ES,longonly,Ret_fwd6hr,14,3100,12.30,340,11.0,53.8,-0.50,0.45,0.01,0.01,4.31,-5.63,0.17,9.29,0.06,0.02,0.05
ES,shortonly,Ret_fwd6hr,14,3100,12.30,336,10.8,44.6,-0.36,0.40,-0.02,-0.02,3.57,-4.09,-0.46,12.35,-0.13,-0.04,-0.07
ES,longonly,Ret_fwd6hr,16,3100,12.30,338,10.9,57.1,-0.47,0.32,-0.02,-0.02,3.31,-4.45,-0.54,19.41,-0.14,-0.03,-0.06
ES,shortonly,Ret_fwd6hr,16,3100,12.30,323,10.4,49.2,-0.21,0.25,0.02,0.01,4.59,-1.52,0.41,4.60,0.20,0.09,0.18
ES,shortonly,Ret_fwd6hr,4,3250,12.90,347,10.7,44.7,-0.32,0.43,0.02,0.01,2.09,-2.06,0.42,11.93,0.17,0.03,0.07
ES,shortonly,Ret_fwd6hr,12,3200,12.70,333,10.4,44.1,-0.36,0.45,-0.00,-0.00,2.23,-3.32,-0.10,8.70,-0.02,-0.01,-0.03
GC,longonly,Ret_fwd6hr,4,3150,12.50,319,10.1,53.6,-0.47,0.39,-0.01,-0.01,2.16,-5.00,-0.24,19.33,-0.06,-0.01,-0.02
ES,shortonly,Ret_fwd6hr,6,3250,12.90,341,10.5,44.3,-0.36,0.40,-0.02,-0.02,3.42,-1.76,-0.56,16.72,-0.19,-0.03,-0.05
ES,longonly,Ret_fwd6hr,12,3200,12.70,380,11.9,57.6,-0.57,0.53,0.07,0.06,10.16,-6.10,1.88,12.72,0.37,0.15,0.57
ES,shortonly,Ret_fwd6hr,23,3200,12.70,328,10.2,44.8,-0.17,0.21,0.00,0.00,1.41,-1.13,0.02,4.14,0.02,0.00,0.01
ES,longonly,Ret_fwd6hr,23,3200,12.70,370,11.6,55.4,-0.30,0.37,0.07,0.07,5.04,-2.80,2.07,5.60,0.61,0.37,0.85
ES,longonly,Ret_fwd6hr,6,3250,12.90,358,11.0,50.6,-0.56,0.54,-0.01,-0.01,6.26,-4.40,-0.26,15.16,-0.04,-0.02,-0.04
ES,shortonly,Ret_fwd6hr,21,3200,12.70,360,11.2,49.2,-0.16,0.14,-0.01,-0.02,0.89,-1.44,-0.37,5.54,-0.31,-0.07,-0.14
ES,longonly,Ret_fwd6hr,19,3200,12.70,387,12.1,57.1,-0.26,0.34,0.08,0.08,3.40,-1.94,2.58,3.04,0.92,0.85,5.08
ES,longonly,Ret_fwd6hr,21,3200,12.70,370,11.6,60.8,-0.26,0.29,0.08,0.08,4.03,-1.84,2.29,2.34,0.89,0.98,4.02
ES,shortonly,Ret_fwd6hr,19,3200,12.70,332,10.4,41.3,-0.14,0.20,-0.00,-0.00,4.84,-1.23,-0.02,6.54,-0.00,-0.00,-0.01
ES,shortonly,Ret_fwd6hr,10,3300,13.10,345,10.5,53.0,-0.54,0.62,0.08,0.08,3.23,-6.93,1.95,9.03,0.45,0.22,0.51
ES,shortonly,Ret_fwd6hr,8,3300,13.10,329,10.0,47.1,-0.42,0.50,0.01,0.01,2.73,-2.20,0.25,9.55,0.10,0.03,0.05
ES,longonly,Ret_fwd6hr,10,3300,13.10,350,10.6,57.4,-0.59,0.56,0.07,0.07,8.68,-3.58,1.88,14.07,0.42,0.13,0.30
ES,longonly,Ret_fwd6hr,8,3300,13.10,373,11.3,57.1,-0.63,0.64,0.09,0.09,5.86,-4.86,2.57,13.36,0.52,0.19,1.45
NG,longonly,Ret_fwd6hr,0,1700,6.75,208,12.2,52.4,-0.86,0.90,0.07,0.06,4.39,-6.17,2.05,12.79,0.34,0.16,0.40
NG,shortonly,Ret_fwd6hr,0,1700,6.75,188,11.1,45.7,-0.78,1.21,0.13,0.13,6.06,-3.16,3.45,12.95,0.51,0.27,0.69
NG,longonly,Ret_fwd6hr,2,1850,7.34,212,11.5,51.4,-1.04,1.04,0.04,0.03,3.86,-6.70,1.02,16.67,0.18,0.06,0.17
NG,shortonly,Ret_fwd6hr,2,1850,7.34,215,11.6,58.1,-1.47,1.17,0.07,0.06,5.71,-15.34,1.50,20.72,0.20,0.07,0.16
GC,longonly,Ret_fwd6hr,14,2450,9.72,261,10.7,54.8,-0.21,0.27,0.06,0.05,1.69,-0.90,1.54,2.46,0.85,0.62,2.09
NG,longonly,Ret_fwd6hr,4,2250,8.93,245,10.9,49.4,-1.54,1.51,-0.03,-0.04,9.07,-6.17,-1.40,37.50,-0.08,-0.04,-0.11
NG,shortonly,Ret_fwd6hr,4,2250,8.93,256,11.4,48.4,-1.59,1.30,-0.19,-0.19,4.93,-8.68,-5.70,43.60,-0.54,-0.13,-0.20
GC,shortonly,Ret_fwd6hr,14,2450,9.72,283,11.6,49.8,-0.23,0.24,0.00,0.00,1.29,-1.34,0.06,3.68,0.04,0.02,0.04
GC,longonly,Ret_fwd6hr,10,2700,10.71,278,10.3,48.2,-0.35,0.34,-0.01,-0.01,1.83,-1.92,-0.42,12.49,-0.16,-0.03,-0.05
GC,longonly,Ret_fwd6hr,12,2700,10.71,276,10.2,49.6,-0.25,0.24,-0.01,-0.01,1.54,-1.26,-0.19,6.31,-0.10,-0.03,-0.06
GC,shortonly,Ret_fwd6hr,10,2700,10.71,280,10.4,50.7,-0.40,0.38,-0.01,-0.01,2.27,-2.91,-0.17,10.02,-0.05,-0.02,-0.04
GC,shortonly,Ret_fwd6hr,12,2700,10.71,293,10.9,48.1,-0.32,0.27,-0.03,-0.03,2.75,-2.77,-0.88,9.95,-0.36,-0.09,-0.18
GC,shortonly,Ret_fwd6hr,4,3150,12.50,344,10.9,52.6,-0.36,0.47,0.08,0.08,3.94,-2.66,2.03,5.22,0.64,0.39,1.29
NG,longonly,Ret_fwd6hr,6,2500,9.92,298,11.9,45.3,-1.83,1.97,-0.10,-0.11,10.40,-16.57,-4.03,57.54,-0.21,-0.07,-0.12
NG,shortonly,Ret_fwd6hr,6,2500,9.92,272,10.9,48.2,-2.06,2.18,-0.00,-0.02,12.37,-9.83,-1.12,47.98,-0.00,-0.02,-0.04
GC,longonly,Ret_fwd6hr,6,3150,12.50,342,10.9,50.3,-0.45,0.50,0.03,0.03,2.60,-2.61,0.84,9.41,0.26,0.09,0.25
GC,shortonly,Ret_fwd6hr,17,2750,10.91,318,11.6,51.3,-0.31,0.26,-0.02,-0.02,1.44,-1.41,-0.48,10.18,-0.22,-0.05,-0.08
GC,longonly,Ret_fwd6hr,17,2750,10.91,332,12.1,56.9,-0.25,0.32,0.07,0.07,1.93,-2.29,2.27,3.48,1.03,0.65,2.02
GC,longonly,Ret_fwd6hr,19,2800,11.11,314,11.2,52.9,-0.21,0.29,0.05,0.05,1.97,-2.11,1.52,3.22,0.79,0.47,1.27
GC,shortonly,Ret_fwd6hr,19,2800,11.11,310,11.1,46.8,-0.26,0.28,-0.01,-0.01,2.02,-1.53,-0.23,6.90,-0.11,-0.03,-0.07
GC,longonly,Ret_fwd6hr,16,2900,11.51,301,10.4,54.8,-0.24,0.26,0.04,0.03,1.26,-1.18,0.99,3.99,0.59,0.25,0.74
GC,shortonly,Ret_fwd6hr,6,3150,12.50,345,11.0,49.6,-0.47,0.50,0.01,0.01,2.10,-2.96,0.14,15.23,0.06,0.01,0.01
GC,shortonly,Ret_fwd6hr,16,2900,11.51,338,11.7,48.5,-0.27,0.24,-0.02,-0.02,1.74,-1.88,-0.66,16.27,-0.31,-0.04,-0.10
GC,longonly,Ret_fwd6hr,8,3250,12.90,350,10.8,45.4,-0.42,0.52,0.01,0.01,2.39,-2.24,0.12,10.27,0.05,0.01,0.02
GC,longonly,Ret_fwd6hr,23,3000,11.90,311,10.4,43.1,-0.26,0.27,-0.03,-0.03,1.40,-1.09,-0.80,13.21,-0.44,-0.06,-0.12
GC,shortonly,Ret_fwd6hr,8,3250,12.90,368,11.3,47.0,-0.45,0.51,0.00,-0.00,2.90,-2.44,0.00,9.80,0.02,0.00,0.00
GC,shortonly,Ret_fwd6hr,23,3000,11.90,309,10.3,48.2,-0.28,0.29,-0.00,-0.00,2.42,-2.08,-0.08,6.19,-0.03,-0.01,-0.02
GC,longonly,Ret_fwd6hr,21,3100,12.30,325,10.5,48.0,-0.21,0.25,0.01,0.01,1.41,-1.53,0.27,6.50,0.18,0.04,0.09
GC,shortonly,Ret_fwd6hr,21,3100,12.30,331,10.7,51.4,-0.26,0.25,0.00,0.00,1.93,-1.65,0.08,6.14,0.05,0.01,0.02
NG,longonly,Ret_fwd6hr,8,3100,12.30,353,11.4,49.3,-1.84,1.75,-0.06,-0.07,9.95,-6.30,-2.60,43.08,-0.15,-0.06,-0.08
NG,shortonly,Ret_fwd6hr,8,3100,12.30,337,10.9,54.0,-1.85,1.99,0.22,0.22,9.55,-8.01,5.35,28.43,0.46,0.19,0.72
NG,longonly,Ret_fwd6hr,23,1650,6.55,170,10.3,44.1,-0.99,0.91,-0.15,-0.15,4.48,-4.08,-3.93,25.35,-0.56,-0.15,-0.25
NG,shortonly,Ret_fwd6hr,23,1650,6.55,180,10.9,53.3,-0.91,1.12,0.18,0.18,5.81,-4.51,4.78,11.76,0.65,0.41,1.10
