Ticker,Direction,Target,Hour,NumObs,Years,NumTrades,TradeFreq,Win%,AvgLoss,AvgProfit,AvgPnL,Expectancy,BestDay,WorstDay,Annual%,MaxDD%,Sharpe,ProfitDD,UPI
NQ,longonly,Ret_fwd6hr,2,2900,11.51,553,19.1,54.1,-0.38,0.42,0.05,0.05,3.59,-2.71,2.53,9.62,0.62,0.26,0.86
NQ,longonly,Ret_fwd6hr,17,2600,10.32,495,19.0,51.7,-0.38,0.37,0.01,0.01,3.34,-4.62,0.27,13.73,0.08,0.02,0.06
NQ,shortonly,Ret_fwd6hr,17,2600,10.32,475,18.3,47.8,-0.26,0.30,0.01,0.00,2.67,-3.54,0.19,11.18,0.08,0.02,0.03
NQ,longonly,Ret_fwd6hr,0,2750,10.91,577,21.0,53.9,-0.33,0.40,0.06,0.06,8.61,-3.06,3.14,8.84,0.65,0.36,0.83
NQ,shortonly,Ret_fwd6hr,2,2900,11.51,545,18.8,49.4,-0.22,0.27,0.02,0.02,1.54,-1.34,1.00,5.27,0.42,0.19,0.64
NQ,shortonly,Ret_fwd6hr,0,2750,10.91,566,20.6,48.1,-0.27,0.27,-0.01,-0.01,1.56,-3.34,-0.61,11.30,-0.19,-0.05,-0.10
NQ,longonly,Ret_fwd6hr,23,2800,11.11,551,19.7,55.4,-0.34,0.40,0.07,0.07,6.30,-2.73,3.30,5.83,0.75,0.57,1.35
NQ,shortonly,Ret_fwd6hr,23,2800,11.11,555,19.8,44.5,-0.26,0.28,-0.02,-0.02,1.87,-3.19,-0.81,10.92,-0.27,-0.07,-0.13
NQ,longonly,Ret_fwd6hr,19,2950,11.71,585,19.8,56.6,-0.25,0.28,0.05,0.05,2.83,-3.94,2.57,5.08,0.81,0.51,1.49
NQ,shortonly,Ret_fwd6hr,19,2950,11.71,590,20.0,44.7,-0.21,0.32,0.03,0.03,5.36,-2.53,1.37,7.33,0.38,0.19,0.53
NQ,longonly,Ret_fwd6hr,21,2900,11.51,602,20.8,60.0,-0.26,0.30,0.08,0.08,3.51,-2.91,4.03,3.37,1.18,1.20,5.18
NQ,shortonly,Ret_fwd6hr,21,2900,11.51,620,21.4,46.5,-0.20,0.22,-0.01,-0.01,3.89,-1.49,-0.31,7.37,-0.11,-0.04,-0.09
NQ,longonly,Ret_fwd6hr,16,3100,12.30,617,19.9,56.2,-0.42,0.35,0.01,0.01,2.49,-4.36,0.40,19.23,0.11,0.02,0.06
NQ,shortonly,Ret_fwd6hr,16,3100,12.30,625,20.2,46.2,-0.29,0.31,-0.01,-0.01,4.54,-3.58,-0.61,17.17,-0.15,-0.04,-0.07
NQ,shortonly,Ret_fwd6hr,14,3100,12.30,641,20.7,46.0,-0.42,0.50,0.00,0.00,4.30,-4.80,0.09,12.34,0.04,0.01,0.01
NQ,longonly,Ret_fwd6hr,14,3100,12.30,606,19.5,55.4,-0.49,0.51,0.06,0.06,3.31,-5.90,2.93,7.63,0.55,0.38,1.12
NQ,longonly,Ret_fwd6hr,4,3250,12.90,669,20.6,49.3,-0.47,0.50,0.01,0.01,3.98,-4.43,0.29,23.33,0.08,0.01,0.03
NQ,shortonly,Ret_fwd6hr,4,3250,12.90,643,19.8,47.6,-0.40,0.47,0.01,0.01,3.85,-3.60,0.51,13.25,0.14,0.04,0.10
NQ,longonly,Ret_fwd6hr,10,3300,13.10,657,19.9,57.8,-0.69,0.60,0.05,0.05,10.37,-5.44,2.53,17.92,0.39,0.14,0.54
NQ,longonly,Ret_fwd6hr,6,3200,12.70,639,20.0,55.4,-0.64,0.62,0.06,0.06,5.01,-4.60,2.67,12.88,0.45,0.21,0.63
NQ,shortonly,Ret_fwd6hr,12,3200,12.70,671,21.0,43.4,-0.42,0.58,0.01,0.01,9.36,-2.79,0.51,15.73,0.12,0.03,0.06
NQ,shortonly,Ret_fwd6hr,10,3300,13.10,687,20.8,44.5,-0.63,0.76,-0.01,-0.01,5.13,-6.64,-0.90,32.17,-0.08,-0.03,-0.06
NQ,longonly,Ret_fwd6hr,12,3200,12.70,662,20.7,58.8,-0.64,0.55,0.06,0.06,11.67,-6.99,3.01,14.65,0.45,0.21,1.16
NQ,shortonly,Ret_fwd6hr,6,3200,12.70,620,19.4,46.1,-0.50,0.57,-0.01,-0.01,2.98,-2.47,-0.47,15.89,-0.07,-0.03,-0.07
NQ,longonly,Ret_fwd6hr,8,3300,13.10,682,20.7,54.5,-0.73,0.76,0.08,0.08,11.28,-3.63,4.13,15.22,0.54,0.27,0.93
NQ,shortonly,Ret_fwd6hr,8,3300,13.10,705,21.4,44.8,-0.55,0.62,-0.03,-0.03,3.80,-2.77,-1.68,26.35,-0.26,-0.06,-0.18
