datetime,equity,returns,trade_index
31,0.9877570991937259,-0.01224290080627405,0
73,1.0058420650641475,0.018309122642787192,1
90,0.9726321144894483,-0.033017062745910576,2
93,0.9601355154393139,-0.012848227879761235,3
96,0.9652454844544721,0.0053221331082833655,4
123,1.0035498188504022,0.03968351576135951,5
140,1.0192573828702998,0.01565200224727363,6
164,1.0179728732561446,-0.0012602406769307922,7
201,1.0461616229114996,0.027691061712861637,8
213,1.0582446062699136,0.01154982470565767,9
239,1.0691006278935749,0.010258518266326453,10
257,1.0665535645637518,-0.0023824355382163083,11
269,1.073832929686484,0.006825128492922384,12
292,1.0778780293309682,0.0037669729924052647,13
347,1.1060794564806298,0.026163838933766916,14
370,1.135459927240672,0.02656271264048808,15
410,1.1727926602514263,0.0328789524976703,16
424,1.1593390875656406,-0.01147139911576651,17
447,1.1719351120737111,0.010864832078179565,18
485,1.1833348376182509,0.009727266831666394,19
494,1.177598640492301,-0.004847484366720276,20
498,1.199354295025134,0.018474592093395997,21
508,1.221886007027516,0.01878653546816194,22
565,1.2639252003407455,0.034405167971027224,23
577,1.2718117861044276,0.006239756721011465,24
589,1.294764849172355,0.018047531339706137,25
645,1.2914736410874974,-0.0025419349984372973,26
664,1.251880308119388,-0.030657484371705263,27
672,1.2580341771988766,0.004915700837832402,28
698,1.2520940843511097,-0.004721726130678622,29
709,1.2131215515434686,-0.03112588206807033,30
770,1.251464658434986,0.031606978577483055,31
814,1.2492499527432308,-0.0017696909591715562,32
819,1.221379957709499,-0.022309382499900794,33
844,1.234051621917904,0.010374874852350405,34
847,1.202351707015805,-0.02568767330237982,35
849,1.221573991845391,0.015987239605036264,36
850,1.2091570760777124,-0.010164685766533644,37
941,1.2282556551596275,0.015794952913700505,38
963,1.2497480161144654,0.01749827966560011,39
983,1.2650770281058927,0.012265682196548848,40
