Date/Time,RetForward,Last10,First20,Overnight,3day
4/05/2004 15:59,0.07831,0.11198,-0.06714,0.04478,0.29194
5/05/2004 15:59,0.18772,0.20143,-0.17873,0.06707,1.10759
6/05/2004 15:59,-0.3358,-0.08961,0.08969,-0.51305,0.38065
7/05/2004 15:59,-1.13923,-0.17978,0.54225,-0.58401,-0.46948
10/05/2004 15:59,-0.05062,-0.32081,0.16066,-0.77431,-2.0522
11/05/2004 15:59,0.22664,0.11457,0.18365,0.27624,-2.42588
12/05/2004 15:59,0.86157,0.06887,-0.11465,-0.38831,-0.29606
13/05/2004 15:59,0.32266,-0.13692,0.32051,-0.50114,1.05893
14/05/2004 15:59,0.53263,-0.38777,0.22862,-0.2281,0.13705
17/05/2004 15:59,0.18501,0.0462,-0.11537,-1.02763,-0.25057
18/05/2004 15:59,0.18131,0,-0.02295,0.5771,-1.18613
19/05/2004 15:59,-1.18048,0.02272,0.09097,0.7331,-0.31971
20/05/2004 15:59,-0.11692,0.06879,0.11478,0.06892,0.48476
21/05/2004 15:59,0.04345,0,-0.13711,0.43608,-0.18328
24/05/2004 15:59,-0.4024,-0.09085,0.13646,0.50286,0.5054
25/05/2004 15:59,2.00903,-0.1373,-0.04575,-0.20543,0.55084
26/05/2004 15:59,0.33746,0.02248,0.11254,-0.22457,1.78286
27/05/2004 15:59,-0.10251,0.15632,0.04468,0.35874,1.80324
28/05/2004 15:59,0.05803,0,-0.15608,0.04461,0.6737
1/06/2004 15:59,-0.03121,0.06698,0.08939,-0.17845,0.5157
2/06/2004 15:59,0.26514,0.02228,-0.17794,0.26762,0.02231
3/06/2004 15:59,-0.37929,-0.04455,0.06687,-0.31111,0.37921
4/06/2004 15:59,-0.02672,-0.04449,0,0.67189,-0.42373
7/06/2004 15:59,0.86245,0.08853,0.11079,0.51225,-0.22222
8/06/2004 15:59,0.47289,-0.15378,0.06595,-0.2631,2.15006
9/06/2004 15:59,-0.67606,-0.06582,0.08783,-0.30648,1.73719
10/06/2004 15:59,0.16308,0.04411,0,0.1989,-0.7893
14/06/2004 15:59,-0.3498,0.08861,-0.24309,-0.44004,-0.5035
15/06/2004 15:59,-0.02648,-0.06618,0.08832,0.62208,-0.53039
16/06/2004 15:59,0.19894,0.04423,-0.26467,0.04413,-0.28603
17/06/2004 15:59,0.36359,0,-0.26513,-0.15442,0.71095
18/06/2004 15:59,0.03086,0,0.2656,-0.19881,-0.11033
21/06/2004 15:59,-0.60459,0.11011,0.04406,0.04408,0.08824
22/06/2004 15:59,0.41138,0.04426,0.11077,-0.15483,-0.13254
23/06/2004 15:59,0.92856,-0.06611,0.1103,-0.15419,0.06612
24/06/2004 15:59,-0.21421,0.04371,0.13129,-0.13112,1.21655
25/06/2004 15:59,-0.40468,0.02187,0.21915,-0.04381,0.55066
28/06/2004 15:59,-0.6094,-0.10946,0,0.32945,-0.50262
29/06/2004 15:59,0.18291,0.22095,-0.06624,-0.11028,-0.67908
30/06/2004 15:59,0.43342,0,0.04397,0.06599,-0.15374
1/07/2004 15:59,-0.84986,-0.17552,0,-0.15334,0.68372
2/07/2004 15:59,0.04672,0.13357,-0.44326,-0.06645,-0.68192
6/07/2004 15:59,-0.29273,0.15653,-0.20085,-0.35579,-1.48959
7/07/2004 15:59,-0.08939,0,0.22432,-0.08965,-1.17386
8/07/2004 15:59,-0.55831,0.08983,-0.11216,-0.29076,-0.57816
9/07/2004 15:59,-0.01123,-0.11216,0.13477,0.38331,-0.60511
12/07/2004 15:59,0.45765,-0.08999,0,-0.1348,-0.44733
13/07/2004 15:59,-0.02914,0.04484,0.02243,0.06732,0.47351
14/07/2004 15:59,-0.04951,0.11264,0.09019,-0.53824,0.17973
15/07/2004 15:59,-0.49696,0,-0.08983,0.24764,-0.31418
16/07/2004 15:59,-0.85994,-0.04501,-0.06748,0.47458,-0.7625
19/07/2004 15:59,-0.37134,-0.02264,0.04531,0.22707,-0.85547
20/07/2004 15:59,0.65864,0.09089,0,0.02273,-0.56497
21/07/2004 15:59,-1.73696,-0.08979,0.02245,0.49639,0.63579
22/07/2004 15:59,0.59933,-0.32022,0.34427,-0.36588,-0.61364
23/07/2004 15:59,-0.35612,-0.1604,-0.04581,-0.34239,-1.15072
26/07/2004 15:59,-0.3746,-0.0689,0.13799,0.25363,-0.82323
27/07/2004 15:59,0.46155,0.06901,0.11515,0.16148,-1.04999
28/07/2004 15:59,0.23342,0.06867,0.16048,-0.29714,0.87618
29/07/2004 15:59,0.15467,0.13655,-0.15905,0.47945,1.03806
30/07/2004 15:59,0.17051,-0.09097,0.09105,-0.22712,0.64
2/08/2004 15:59,0.63709,0.13655,0.11392,-0.38584,0.59361
3/08/2004 15:59,-0.45074,-0.04527,0.02264,-0.13565,0.45424
4/08/2004 15:59,0.21006,0.18302,-0.09143,-0.45506,-0.24966
5/08/2004 15:59,-1.57472,0.06838,-0.0911,0.04557,-0.76871
6/08/2004 15:59,-0.60543,-0.18648,0.16344,-0.83353,-1.72924
9/08/2004 15:59,0.0141,-0.07034,0.18793,0.11759,-3.12144
10/08/2004 15:59,0.92452,-0.04681,0.07026,0.28182,-1.41236
11/08/2004 15:59,0.83226,-0.07016,-0.18674,-0.64935,1.4111
12/08/2004 15:59,-0.81198,0.02332,0.11671,-0.39526,1.00986
13/08/2004 15:59,0.02347,0.04692,0.04694,0.23524,-1.41466
16/08/2004 15:59,0.81266,-0.07001,0.53965,0.02347,-0.93002
17/08/2004 15:59,-0.35242,0.11531,0.23116,0.20848,1.55258
18/08/2004 15:59,1.1267,-0.02311,0.23164,-0.20804,1.52546
19/08/2004 15:59,-0.27447,0.11439,0.04578,-0.25114,1.45935
20/08/2004 15:59,0.53092,-0.02287,0.27523,0,0.78595
23/08/2004 15:59,-0.1185,-0.13652,-0.06821,0.11382,0.2968
24/08/2004 15:59,-0.29345,0.06826,-0.13633,0.41068,0.52752
25/08/2004 15:59,0.91555,0.02282,-0.13674,0.11408,-0.22763
26/08/2004 15:59,-0.01131,0.02264,0.09064,-0.15837,0.84417
27/08/2004 15:59,0.16717,0.06783,0.02261,0.06789,0.82136
30/08/2004 15:59,-0.51799,-0.0452,0.06784,-0.27064,0.31674
31/08/2004 15:59,0.31568,0,0.15905,0.06821,-0.47522
1/09/2004 15:59,0.28095,-0.09064,0.02267,-0.1132,-0.3834
2/09/2004 15:59,0.95676,-0.04516,0.11302,-0.04519,0.63665
3/09/2004 15:59,-0.27298,-0.22302,0.42553,-0.20116,1.29047
7/09/2004 15:59,0.10711,-0.02231,0.15642,0.40386,0.70041
8/09/2004 15:59,-0.33029,-0.11156,0.08933,-0.17833,0.26822
9/09/2004 15:59,0.01565,-0.11163,0.08939,0.20152,0.20193
10/09/2004 15:59,0.80211,0.11208,-0.33512,0.0447,-0.2675
13/09/2004 15:59,0.09328,0.02221,-0.0444,0.13336,0.73892
14/09/2004 15:59,0.30631,0.06661,-0.06656,0,0.7376
15/09/2004 15:59,-0.28921,-0.11106,-0.1331,-0.24342,0.44454
16/09/2004 15:59,-0.03336,0.08903,0.13372,0.11156,-0.55469
17/09/2004 15:59,0.28424,-0.02219,-0.04436,0.31146,-0.53109
20/09/2004 15:59,0.06238,-0.11131,-0.15559,-0.37644,0.75859
21/09/2004 15:59,0.55406,-0.08889,0.02223,0.17813,-0.08899
22/09/2004 15:59,-0.49352,0.06698,-0.24499,-0.64173,0.06643
23/09/2004 15:59,-0.18006,-0.06748,-0.17961,-0.04488,-0.77934
24/09/2004 15:59,0.02926,0.06754,0.13526,0.02255,-1.85882
27/09/2004 15:59,-0.24172,-0.04519,-0.18042,-0.22502,-0.2693
28/09/2004 15:59,0.54766,-0.11297,0,0.22645,-0.42841
29/09/2004 15:59,0.4416,0.02253,0.02254,-0.13504,-0.0225
30/09/2004 15:59,0.03591,-0.02244,0.11233,-0.15702,0.95109
1/10/2004 15:59,0.66905,0.11138,0.22326,0.47106,0.33761
4/10/2004 15:59,-0.40566,0.08782,0.06591,0.50784,1.59264
5/10/2004 15:59,0.07494,-0.02202,-0.04402,0.02202,1.88425
6/10/2004 15:59,0.75827,-0.08809,0.04406,-0.02203,0.24288
7/10/2004 15:59,-0.64131,0,-0.13149,-0.17502,0.63849
8/10/2004 15:59,-0.89394,0.22104,0.19934,-0.19894,-0.35242
11/10/2004 15:59,0.0667,0.02223,-0.02223,0.20045,-1.77204
12/10/2004 15:59,0.4274,-0.04472,-0.0447,-0.59987,-0.5084
13/10/2004 15:59,-1.00265,-0.02223,-0.1775,0.42335,-0.04454
14/10/2004 15:59,-0.827,-0.08983,0,0,-1.06643
15/10/2004 15:59,0.39633,-0.11315,-0.15816,0.29458,-1.67112
18/10/2004 15:59,0.59585,0.13559,0.09048,-0.2707,-0.44914
19/10/2004 15:59,-1.1732,-0.15667,0.06719,0.17949,0.99705
20/10/2004 15:59,0.34563,0,0.02273,-0.31717,-0.4286
21/10/2004 15:59,0.20603,-0.02262,0.1359,0.04532,-0.98721
22/10/2004 15:59,-1.05648,-0.02257,0,0.09038,0.27186
25/10/2004 15:59,0.30026,-0.16022,-0.11431,-0.20534,-0.67981
26/10/2004 15:59,1.30711,-0.13677,0,0.25137,-1.12969
27/10/2004 15:59,1.64098,-0.13526,-0.02254,-0.09007,1.32329
28/10/2004 15:59,0.33154,0.08909,-0.06677,-0.22207,2.90219
29/10/2004 15:59,-0.11719,0.11057,0.35508,-0.06653,1.53119
1/11/2004 15:59,0.05311,-0.02212,-0.0884,0.17711,0.3109
2/11/2004 15:59,-0.34387,0.13245,0.04417,0.15483,0.26613
3/11/2004 15:59,-0.23131,0.04364,0.02182,1.34926,0.08855
4/11/2004 15:59,1.33101,0.1749,0.02187,0.02187,1.12807
5/11/2004 15:59,0.07292,0.02145,0,0.36606,2.72064
8/11/2004 15:59,0.11383,-0.1072,0.06436,-0.10716,2.05599
9/11/2004 15:59,-0.31659,0.10697,0.21441,0.06436,0.36606
10/11/2004 15:59,0.08595,-0.02147,-0.06436,0.02146,-0.12859
11/11/2004 15:59,0.53714,0,0.10716,0.17175,-0.06436
12/11/2004 15:59,0.92017,0.04263,-0.149,0,0.81545
15/11/2004 15:59,0.11826,0.02114,0,-0.14774,1.71748
16/11/2004 15:59,-0.22267,-0.10584,-0.0846,-0.2742,0.91528
17/11/2004 15:59,-0.09293,0.02113,0.10578,0.46759,-0.6965
18/11/2004 15:59,0.23901,-0.06337,0,0.08457,-0.23202
19/11/2004 15:59,-0.7522,0.02119,-0.42194,0.0211,0.72264
22/11/2004 15:59,0.7742,-0.08547,0.04275,-0.1281,-0.97252
23/11/2004 15:59,0.09352,0.04253,-0.12742,-0.06367,-0.56974
24/11/2004 15:59,0.21818,-0.25365,0.1906,0.27607,0.53373
29/11/2004 15:59,-0.39933,-0.2107,0.10546,0.21137,0.40323
30/11/2004 15:59,-0.30988,-0.10613,0.04247,-0.10607,0.10618
1/12/2004 15:59,0.78846,0.02114,0.33934,0.38322,-0.71866
2/12/2004 15:59,0.11137,0.02103,0.06312,-0.3146,1.14552
3/12/2004 15:59,-0.42205,0.04187,0.35714,-0.08396,1.42644
6/12/2004 15:59,0.22108,0.08426,-0.21022,-0.18884,-0.04195
7/12/2004 15:59,-1.18353,0.12605,-0.12589,0.12605,-0.08396
8/12/2004 15:59,0.25854,0.08487,-0.02121,0.10618,-1.19597
9/12/2004 15:59,0.99962,0.0848,-0.08473,-0.21137,-0.60924
10/12/2004 15:59,-0.02311,0.04202,0.18943,-0.37744,1.27416
13/12/2004 15:59,0.51228,-0.04181,-0.0418,0.52521,0.61298
14/12/2004 15:59,0.39927,0.02079,0.14577,-0.10401,0.79681
15/12/2004 15:59,0.16788,-0.06216,0.0622,-0.10356,1.42857
16/12/2004 15:59,-0.08499,0.08297,-0.06219,-0.18622,0.54088
17/12/2004 15:59,-0.26449,0.08333,0.14605,-0.56017,-0.1657
20/12/2004 15:59,-0.68892,-0.0829,0.43714,0.31322,-0.91041
21/12/2004 15:59,0.67101,0,0.04168,0.25073,-0.70539
22/12/2004 15:59,0.40983,-0.04137,0.10354,-0.0414,0.87701
23/12/2004 15:59,0.07216,-0.0206,0.12374,-0.04123,1.35813
