datetime,uncompounded_returns_pct,equity_value
2024-01-01 18:01:00,0.0,100000.0
2024-01-01 18:02:00,0.0,100000.0
2024-01-01 18:03:00,0.0,100000.0
2024-01-01 18:04:00,0.0,100000.0
2024-01-01 18:05:00,0.0,100000.0
2024-01-01 18:06:00,0.0,100000.0
2024-01-01 18:07:00,0.0,100000.0
2024-01-01 18:08:00,0.0,100000.0
2024-01-01 18:09:00,0.0,100000.0
2024-01-01 18:10:00,0.0,100000.0
2024-01-01 18:11:00,0.0,100000.0
2024-01-01 18:12:00,0.0,100000.0
2024-01-01 18:13:00,0.0,100000.0
2024-01-01 18:14:00,0.0,100000.0
2024-01-01 18:15:00,0.0,100000.0
2024-01-01 18:16:00,0.0,100000.0
2024-01-01 18:17:00,0.0,100000.0
2024-01-01 18:18:00,0.0,100000.0
2024-01-01 18:19:00,0.0,100000.0
2024-01-01 18:20:00,0.0,100000.0
2024-01-01 18:21:00,0.0,100000.0
2024-01-01 18:22:00,0.0,100000.0
2024-01-01 18:23:00,0.0,100000.0
2024-01-01 18:24:00,0.0,100000.0
2024-01-01 18:25:00,0.0,100000.0
2024-01-01 18:26:00,0.0,100000.0
2024-01-01 18:27:00,0.0,100000.0
2024-01-01 18:28:00,0.0,100000.0
2024-01-01 18:29:00,0.0,100000.0
2024-01-01 18:30:00,0.0,100000.0
2024-01-01 18:31:00,0.0,100000.0
2024-01-01 18:32:00,0.0,100000.0
2024-01-01 18:33:00,0.0,100000.0
2024-01-01 18:34:00,0.0,100000.0
2024-01-01 18:35:00,0.0,100000.0
2024-01-01 18:36:00,0.0,100000.0
2024-01-01 18:37:00,0.0,100000.0
2024-01-01 18:38:00,0.0,100000.0
2024-01-01 18:39:00,0.0,100000.0
2024-01-01 18:40:00,0.0,100000.0
2024-01-01 18:41:00,0.0,100000.0
2024-01-01 18:42:00,0.0,100000.0
2024-01-01 18:43:00,0.0,100000.0
2024-01-01 18:44:00,0.0,100000.0
2024-01-01 18:45:00,0.0,100000.0
2024-01-01 18:46:00,0.0,100000.0
2024-01-01 18:47:00,0.0,100000.0
2024-01-01 18:48:00,0.0,100000.0
2024-01-01 18:49:00,0.0,100000.0
2024-01-01 18:50:00,0.0,100000.0
2024-01-01 18:51:00,0.0,100000.0
2024-01-01 18:52:00,0.0,100000.0
2024-01-01 18:53:00,0.0,100000.0
2024-01-01 18:54:00,0.0,100000.0
2024-01-01 18:55:00,0.0,100000.0
2024-01-01 18:56:00,0.0,100000.0
2024-01-01 18:57:00,0.0,100000.0
2024-01-01 18:58:00,0.0,100000.0
2024-01-01 18:59:00,0.0,100000.0
2024-01-01 19:00:00,0.0,100000.0
2024-01-01 19:01:00,0.0,100000.0
2024-01-01 19:02:00,0.0,100000.0
2024-01-01 19:03:00,0.0,100000.0
2024-01-01 19:04:00,0.0,100000.0
2024-01-01 19:05:00,0.0,100000.0
2024-01-01 19:06:00,0.0,100000.0
2024-01-01 19:07:00,0.0,100000.0
2024-01-01 19:08:00,0.0,100000.0
2024-01-01 19:09:00,0.0,100000.0
2024-01-01 19:10:00,0.0,100000.0
2024-01-01 19:11:00,0.0,100000.0
2024-01-01 19:12:00,0.0,100000.0
2024-01-01 19:13:00,0.0,100000.0
2024-01-01 19:14:00,0.0,100000.0
2024-01-01 19:15:00,0.0,100000.0
2024-01-01 19:16:00,0.0,100000.0
2024-01-01 19:17:00,0.0,100000.0
2024-01-01 19:18:00,0.0,100000.0
2024-01-01 19:19:00,0.0,100000.0
2024-01-01 19:20:00,0.0,100000.0
2024-01-01 19:21:00,0.0,100000.0
2024-01-01 19:22:00,0.0,100000.0
2024-01-01 19:23:00,0.0,100000.0
2024-01-01 19:24:00,0.0,100000.0
2024-01-01 19:25:00,0.0,100000.0
2024-01-01 19:26:00,0.0,100000.0
2024-01-01 19:27:00,0.0,100000.0
2024-01-01 19:28:00,0.0,100000.0
2024-01-01 19:29:00,0.0,100000.0
2024-01-01 19:30:00,0.0,100000.0
2024-01-01 19:31:00,0.0,100000.0
2024-01-01 19:32:00,0.0,100000.0
2024-01-01 19:33:00,0.0,100000.0
2024-01-01 19:34:00,0.0,100000.0
2024-01-01 19:35:00,0.0,100000.0
2024-01-01 19:36:00,0.0,100000.0
2024-01-01 19:37:00,0.0,100000.0
2024-01-01 19:38:00,0.0,100000.0
2024-01-01 19:39:00,0.0,100000.0
2024-01-01 19:40:00,0.0,100000.0
2024-01-01 19:41:00,0.0,100000.0
2024-01-01 19:42:00,0.0,100000.0
2024-01-01 19:43:00,0.0,100000.0
2024-01-01 19:44:00,0.0,100000.0
2024-01-01 19:45:00,0.0,100000.0
2024-01-01 19:46:00,0.0,100000.0
