Exit Trade Id,Column,Size,Entry Order Id,Entry Index,Avg Entry Price,Entry Fees,Exit Order Id,Exit Index,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id,Symbol,Strategy,posSize_raw,posSize_riskAdj,shares,pnl_excFriction,EntryTime,ExitTime,entryTime_text,exitTime_text
0,0,0.1927803749578293,0,130,5187.25,0.0,1,164,5183.75,0.0,-0.6747313123523782,-0.0006747313123523781,Long,Closed,0,ES,0,1,1,3.7164272968881255e-05,-0.0001300749553910844,1704139860000000000,1704141900000000000,2024-01-01 15:11:00,2024-01-01 15:45:00
1,0,-0.19291053773812394,1,164,5183.75,0.0,2,255,5185.25,0.0,-0.28936580660717937,-0.00028936580660717936,Short,Closed,1,ES,0,1,1,-3.7214475570412145e-05,-5.582171335561822e-05,1704141900000000000,1704147360000000000,2024-01-01 15:45:00,2024-01-01 17:16:00
2,0,0.1928547321729907,2,255,5185.25,0.0,3,279,5184.25,0.0,-0.19285473217303206,-0.00019285473217303204,Long,Closed,2,ES,0,1,1,3.7192947721515976e-05,-3.7192947721515976e-05,1704147360000000000,1704148800000000000,2024-01-01 17:16:00,2024-01-01 17:40:00
3,0,-0.1928919322949318,3,279,5184.25,0.0,4,286,5185.0,0.0,-0.1446689492212272,-0.00014466894922122718,Short,Closed,3,ES,0,1,1,-3.7207297544472545e-05,-2.7905473158354407e-05,1704148800000000000,1704149220000000000,2024-01-01 17:40:00,2024-01-01 17:47:00
4,0,0.19286403085824494,4,286,5185.0,0.0,5,437,5186.5,0.0,0.28929604628740435,0.00028929604628740433,Long,Closed,4,ES,0,1,1,3.7196534398890056e-05,5.579480159833509e-05,1704149220000000000,1704158280000000000,2024-01-01 17:47:00,2024-01-01 20:18:00
5,0,-0.19280825219319386,5,437,5186.5,0.0,6,498,5189.0,0.0,-0.4820206304829071,-0.0004820206304829071,Short,Closed,5,ES,0,1,1,-3.7175022113794244e-05,-9.293755528448561e-05,1704158280000000000,1704161940000000000,2024-01-01 20:18:00,2024-01-01 21:19:00
6,0,0.1927153594141453,6,498,5189.0,0.0,7,616,5187.0,0.0,-0.3854307188282746,-0.0003854307188282746,Long,Closed,6,ES,0,1,1,3.71392097541232e-05,-7.42784195082464e-05,1704161940000000000,1704169020000000000,2024-01-01 21:19:00,2024-01-01 23:17:00
7,0,-0.19278966647387696,7,616,5187.0,0.0,8,914,5150.0,0.0,7.133217659533443,0.007133217659533445,Short,Closed,7,ES,0,1,1,-3.716785549910873e-05,0.0013752106534670229,1704169020000000000,1704186900000000000,2024-01-01 23:17:00,2024-01-02 04:15:00
8,0,0.19417475728155342,8,914,5150.0,0.0,9,951,5144.5,0.0,-1.067961165048473,-0.001067961165048473,Long,Closed,8,ES,0,1,1,3.770383636535018e-05,-0.00020737110000942598,1704186900000000000,1704189120000000000,2024-01-02 04:15:00,2024-01-02 04:52:00
9,0,-0.1943823500826125,9,951,5144.5,0.0,10,975,5146.25,0.0,-0.3401691126446167,-0.0003401691126446167,Short,Closed,9,ES,0,1,1,-3.7784498023639326e-05,-6.612287154136882e-05,1704189120000000000,1704190560000000000,2024-01-02 04:52:00,2024-01-02 05:16:00
