Ticker,Direction,Target,Hour,NumObs,Years,NumTrades,TradeFreq,Win%,AvgLoss,AvgProfit,AvgPnL,Expectancy,BestDay,WorstDay,Annual%,MaxDD%,Sharpe,ProfitDD,UPI
NQ,shortonly,Ret_fwd6hr,21,2900,11.51,362,12.5,45.3,-0.23,0.24,-0.02,-0.02,3.89,-2.00,-0.57,9.08,-0.25,-0.06,-0.15
NQ,shortonly,Ret_fwd6hr,0,2750,10.91,521,18.9,46.4,-0.28,0.29,-0.01,-0.01,2.20,-1.85,-0.63,11.28,-0.20,-0.06,-0.11
NQ,shortonly,Ret_fwd6hr,4,3250,12.90,676,20.8,48.7,-0.42,0.43,-0.01,-0.01,2.76,-3.60,-0.39,15.67,-0.07,-0.02,-0.06
NQ,shortonly,Ret_fwd6hr,10,3300,13.10,733,22.2,45.6,-0.70,0.83,-0.00,-0.00,5.13,-6.64,-0.46,39.73,-0.02,-0.01,-0.03
NQ,shortonly,Ret_fwd6hr,6,3200,12.70,644,20.1,47.2,-0.56,0.62,-0.00,-0.00,3.11,-2.93,-0.40,20.21,-0.04,-0.02,-0.03
NQ,shortonly,Ret_fwd6hr,23,2800,11.11,506,18.1,45.3,-0.25,0.29,-0.00,-0.00,1.65,-1.69,-0.14,11.10,-0.04,-0.01,-0.02
NQ,longonly,Ret_fwd6hr,17,2600,10.32,534,20.5,53.9,-0.37,0.32,0.00,0.00,3.34,-4.62,0.04,14.46,0.03,0.00,0.01
NQ,shortonly,Ret_fwd6hr,16,3100,12.30,629,20.3,45.2,-0.30,0.37,0.00,0.00,4.54,-1.89,0.15,16.93,0.06,0.01,0.02
NQ,longonly,Ret_fwd6hr,4,3250,12.90,680,20.9,50.4,-0.50,0.50,0.01,0.01,5.38,-4.43,0.29,17.08,0.08,0.02,0.04
NQ,shortonly,Ret_fwd6hr,8,3300,13.10,670,20.3,47.5,-0.60,0.69,0.01,0.01,3.80,-2.78,0.38,15.87,0.09,0.02,0.05
NQ,longonly,Ret_fwd6hr,12,3200,12.70,647,20.2,54.9,-0.63,0.55,0.02,0.02,11.67,-6.99,0.73,14.10,0.14,0.05,0.11
NQ,longonly,Ret_fwd6hr,16,3100,12.30,619,20.0,55.7,-0.35,0.30,0.01,0.01,2.81,-4.36,0.64,13.57,0.19,0.05,0.13
NQ,shortonly,Ret_fwd6hr,2,2900,11.51,469,16.2,49.9,-0.27,0.29,0.01,0.01,1.68,-1.62,0.35,5.56,0.15,0.06,0.14
NQ,shortonly,Ret_fwd6hr,19,2950,11.71,604,20.5,45.9,-0.22,0.31,0.02,0.02,5.36,-2.53,1.14,10.72,0.31,0.11,0.32
NQ,shortonly,Ret_fwd6hr,14,3100,12.30,621,20.0,47.7,-0.39,0.49,0.03,0.03,5.99,-3.83,1.31,9.84,0.29,0.13,0.32
NQ,shortonly,Ret_fwd6hr,17,2600,10.32,525,20.2,46.7,-0.29,0.37,0.02,0.02,4.81,-3.54,0.92,7.84,0.23,0.12,0.38
NQ,shortonly,Ret_fwd6hr,12,3200,12.70,704,22.0,43.8,-0.46,0.69,0.04,0.04,9.36,-4.03,2.27,15.97,0.37,0.14,0.38
NQ,longonly,Ret_fwd6hr,14,3100,12.30,610,19.7,54.6,-0.54,0.52,0.04,0.04,3.31,-5.90,1.67,11.85,0.31,0.14,0.45
NQ,longonly,Ret_fwd6hr,0,2750,10.91,565,20.5,54.7,-0.36,0.39,0.05,0.05,8.61,-3.06,2.43,11.46,0.52,0.21,0.46
NQ,longonly,Ret_fwd6hr,6,3200,12.70,670,20.9,55.1,-0.64,0.62,0.06,0.06,4.63,-4.60,2.81,11.43,0.45,0.25,0.82
NQ,longonly,Ret_fwd6hr,2,2900,11.51,580,20.0,54.5,-0.40,0.42,0.05,0.05,3.59,-2.71,2.40,6.32,0.57,0.38,0.93
NQ,longonly,Ret_fwd6hr,8,3300,13.10,668,20.2,54.5,-0.69,0.72,0.08,0.08,11.28,-4.38,3.94,13.03,0.54,0.30,1.14
NQ,longonly,Ret_fwd6hr,19,2950,11.71,569,19.3,56.1,-0.28,0.28,0.04,0.04,2.83,-3.94,1.90,4.09,0.60,0.46,1.66
NQ,longonly,Ret_fwd6hr,10,3300,13.10,684,20.7,60.4,-0.70,0.64,0.11,0.11,10.37,-5.44,5.73,15.64,0.81,0.37,2.30
NQ,longonly,Ret_fwd6hr,21,2900,11.51,623,21.5,60.0,-0.29,0.30,0.07,0.06,3.51,-3.05,3.55,5.19,0.95,0.68,2.63
NQ,longonly,Ret_fwd6hr,23,2800,11.11,564,20.1,57.1,-0.35,0.43,0.10,0.09,6.30,-2.73,4.85,5.23,1.03,0.93,4.36
