vol_window,sharpe_ratio,total_pnl,hit_rate,trading_frequency,runtime_seconds
30,0.689,88.26,0.548,0.264,12.213798999786377
85,0.746,109.21,0.539,0.246,11.890828609466553
140,0.712,90.97,0.55,0.192,11.566636323928833
195,0.95,121.48,0.556,0.212,11.473446607589722
250,0.689,118.53,0.535,0.316,11.413753032684326
