max_depth,sharpe_ratio,total_pnl,hit_rate,trading_frequency,total_trades,runtime_seconds
1,0.675,82.28,0.548,0.187,1346,12.171310186386108
2,0.377,39.35,0.531,0.176,1270,13.46195650100708
