bootstrap_fraction,sharpe_ratio,total_pnl,hit_rate,trading_frequency,total_trades,runtime_seconds
0.3,0.565,70.41,0.555,0.168,1211,10.853696584701538
0.4,0.758,92.37,0.559,0.169,1218,11.093581438064575
0.5,0.542,66.89,0.549,0.179,1287,11.28333854675293
0.6,0.675,82.28,0.548,0.187,1346,11.609479904174805
0.7,0.568,72.88,0.541,0.195,1409,11.954299449920654
0.8,0.571,73.27,0.542,0.192,1383,12.185458183288574
0.9,0.607,78.24,0.541,0.2,1444,12.5036301612854
1.0,0.504,65.47,0.54,0.198,1430,12.65942645072937
