Exit Trade Id,Column,Size,Entry Order Id,Entry Index,Avg Entry Price,Entry Fees,Exit Order Id,Exit Index,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,0.2493420488175101,0,54,4010.55499761248,0.0,1,100,4002.923146289748,0.0,-1.9029414450806144,-0.0019029414450806143,Long,Closed,0
1,0,0.2498174367716467,1,100,4002.923146289748,0.0,2,204,4013.511653160215,0.0,-2.645193645619088,-0.0026451936456190874,Short,Closed,1
2,0,0.24915836464872504,2,204,4013.511653160215,0.0,3,250,4018.6955802283246,0.0,1.2916187907485437,0.0012916187907485437,Long,Closed,2
3,0,0.24883696215257595,3,250,4018.6955802283246,0.0,-1,499,4042.9860013451785,0.0,-6.0443546001246204,-0.006044354600124621,Short,Open,3
