MA1,MA2,Total_Return,Win_Loss_Ratio,Sharpe_Ratio,Trade_Count,Avg_Trade,Max_Drawdown,Status
10,100,0,0,0,0,0,0,Success
10,200,0,0,0,0,0,0,Success
10,300,0,0,0,0,0,0,Success
10,400,0,0,0,0,0,0,Success
10,500,0,0,0,0,0,0,Success
20,100,0,0,0,0,0,0,Success
20,200,0,0,0,0,0,0,Success
20,300,0,0,0,0,0,0,Success
20,400,0,0,0,0,0,0,Success
20,500,0,0,0,0,0,0,Success
30,100,0,0,0,0,0,0,Success
30,200,0,0,0,0,0,0,Success
30,300,0,0,0,0,0,0,Success
30,400,0,0,0,0,0,0,Success
30,500,0,0,0,0,0,0,Success
40,100,0,0,0,0,0,0,Success
40,200,0,0,0,0,0,0,Success
40,300,0,0,0,0,0,0,Success
40,400,0,0,0,0,0,0,Success
40,500,0,0,0,0,0,0,Success
50,100,0,0,0,0,0,0,Success
50,200,0,0,0,0,0,0,Success
50,300,0,0,0,0,0,0,Success
50,400,0,0,0,0,0,0,Success
50,500,0,0,0,0,0,0,Success
