Metric,Value
Total Permutations,52.0
Successful,52.0
Failed,0.0
Workers Used,31.0
Average Annual Return (%),0.4852857988112967
Median Annual Return (%),0.34791577683180863
Average Sharpe Ratio,0.16256323989033192
Average Profit/DD,0.11963395873082952
