date,Return,TradeFlag,NoneTradePrice,_perm_id,_ticker,_direction,_target,_hour
2011-10-13 05:50:00,-1.0823,0,3.480333,59,NG,shortonly,Ret_fwd6hr,6
2011-10-14 05:50:00,-4.1726,0,3.523,59,NG,shortonly,Ret_fwd6hr,6
2011-10-17 05:50:00,1.5428,0,3.737666,59,NG,shortonly,Ret_fwd6hr,6
2011-10-19 05:50:00,-0.7203,0,3.563333,59,NG,shortonly,Ret_fwd6hr,6
2011-10-21 05:50:00,0.0554,0,3.609,59,NG,shortonly,Ret_fwd6hr,6
2011-10-24 05:50:00,0.3487,0,3.632667,59,NG,shortonly,Ret_fwd6hr,6
2011-10-25 05:50:00,-1.3208,0,3.583667,59,NG,shortonly,Ret_fwd6hr,6
2011-10-27 05:50:00,0.6081,0,3.782,59,NG,shortonly,Ret_fwd6hr,6
2011-10-28 05:50:00,-2.5844,0,3.792,59,NG,shortonly,Ret_fwd6hr,6
2011-10-31 05:50:00,1.442,1,3.929667,59,NG,shortonly,Ret_fwd6hr,6
2011-11-01 05:50:00,3.372,0,3.904667,59,NG,shortonly,Ret_fwd6hr,6
2011-11-02 05:50:00,-0.115,0,3.768667,59,NG,shortonly,Ret_fwd6hr,6
2011-11-03 05:50:00,-1.0282,0,3.793,59,NG,shortonly,Ret_fwd6hr,6
2011-11-04 05:50:00,-0.262,0,3.816,59,NG,shortonly,Ret_fwd6hr,6
2011-11-07 05:50:00,1.4175,0,3.739,59,NG,shortonly,Ret_fwd6hr,6
2011-11-08 05:50:00,-0.5991,0,3.672,59,NG,shortonly,Ret_fwd6hr,6
2011-11-09 05:50:00,1.769,0,3.731,59,NG,shortonly,Ret_fwd6hr,6
2011-11-10 05:50:00,-0.0548,0,3.649,59,NG,shortonly,Ret_fwd6hr,6
2011-11-11 05:50:00,1.1364,0,3.637334,59,NG,shortonly,Ret_fwd6hr,6
2011-11-14 05:50:00,0.6847,0,3.505,59,NG,shortonly,Ret_fwd6hr,6
2011-11-15 05:50:00,-0.1257,0,3.446667,59,NG,shortonly,Ret_fwd6hr,6
2011-11-16 05:50:00,0.3832,0,3.392,59,NG,shortonly,Ret_fwd6hr,6
2011-11-17 05:50:00,-0.1086,0,3.376333,59,NG,shortonly,Ret_fwd6hr,6
2011-11-18 05:50:00,2.9412,0,3.422667,59,NG,shortonly,Ret_fwd6hr,6
2011-11-21 05:50:00,-2.9815,0,3.309333,59,NG,shortonly,Ret_fwd6hr,6
2011-11-22 05:50:00,1.194,1,3.434,59,NG,shortonly,Ret_fwd6hr,6
2011-11-23 05:50:00,1.1868,0,3.398333,59,NG,shortonly,Ret_fwd6hr,6
2011-11-24 05:50:00,-0.121,0,3.581667,59,NG,shortonly,Ret_fwd6hr,6
2011-11-25 05:50:00,-0.5713,0,3.617333,59,NG,shortonly,Ret_fwd6hr,6
2011-11-28 05:50:00,3.5907,1,3.704,59,NG,shortonly,Ret_fwd6hr,6
2011-11-29 05:50:00,-1.0429,0,3.548,59,NG,shortonly,Ret_fwd6hr,6
2011-11-30 05:50:00,1.6809,0,3.629,59,NG,shortonly,Ret_fwd6hr,6
