Metric,Value
Total Permutations,52.0
Successful,52.0
Failed,0.0
Workers Used,31.0
Average Annual Return (%),0.38357354425177326
Median Annual Return (%),0.3628346261290383
Average Sharpe Ratio,0.17378291080787275
Average Profit/DD,0.1279692463045753
