date,Return,TradeFlag,_perm_id,_ticker,_direction,_target,_hour
2015-11-13 13:50:00,-0.9994,0,15,GC,shortonly,Ret_fwd6hr,14
2015-11-16 13:50:00,0.0062,0,15,GC,shortonly,Ret_fwd6hr,14
2015-11-17 13:50:00,0.3772,0,15,GC,shortonly,Ret_fwd6hr,14
2015-11-18 13:50:00,-0.7737,0,15,GC,shortonly,Ret_fwd6hr,14
2015-11-19 13:50:00,-0.4048,0,15,GC,shortonly,Ret_fwd6hr,14
2015-11-20 13:50:00,0.5974,1,15,GC,shortonly,Ret_fwd6hr,14
2015-11-23 13:50:00,-0.2186,0,15,GC,shortonly,Ret_fwd6hr,14
2015-11-24 13:50:00,-0.2854,0,15,GC,shortonly,Ret_fwd6hr,14
2015-11-25 13:50:00,-0.1557,0,15,GC,shortonly,Ret_fwd6hr,14
2015-11-30 13:50:00,-0.194,0,15,GC,shortonly,Ret_fwd6hr,14
2015-12-01 13:50:00,-0.2626,0,15,GC,shortonly,Ret_fwd6hr,14
2015-12-02 13:50:00,0.4964,1,15,GC,shortonly,Ret_fwd6hr,14
2015-12-03 13:50:00,0.1382,0,15,GC,shortonly,Ret_fwd6hr,14
2015-12-04 13:50:00,-0.3173,0,15,GC,shortonly,Ret_fwd6hr,14
2015-12-07 13:50:00,0.5524,0,15,GC,shortonly,Ret_fwd6hr,14
2015-12-08 13:50:00,-0.2174,0,15,GC,shortonly,Ret_fwd6hr,14
2015-12-09 13:50:00,0.0807,0,15,GC,shortonly,Ret_fwd6hr,14
2015-12-10 13:50:00,0.4819,1,15,GC,shortonly,Ret_fwd6hr,14
2015-12-11 13:50:00,0.3001,0,15,GC,shortonly,Ret_fwd6hr,14
2015-12-14 13:50:00,0.0157,0,15,GC,shortonly,Ret_fwd6hr,14
2015-12-15 13:50:00,-0.1004,0,15,GC,shortonly,Ret_fwd6hr,14
2015-12-16 13:50:00,0.5162,0,15,GC,shortonly,Ret_fwd6hr,14
2015-12-17 13:50:00,-0.3966,0,15,GC,shortonly,Ret_fwd6hr,14
2015-12-18 13:50:00,-0.313,0,15,GC,shortonly,Ret_fwd6hr,14
2015-12-21 13:50:00,0.0927,0,15,GC,shortonly,Ret_fwd6hr,14
2015-12-22 13:50:00,0.0311,0,15,GC,shortonly,Ret_fwd6hr,14
2015-12-23 13:50:00,-0.3463,0,15,GC,shortonly,Ret_fwd6hr,14
2015-12-28 13:50:00,-0.4532,0,15,GC,shortonly,Ret_fwd6hr,14
2015-12-29 13:50:00,-0.0904,0,15,GC,shortonly,Ret_fwd6hr,14
2015-12-30 13:50:00,-0.0943,0,15,GC,shortonly,Ret_fwd6hr,14
2015-12-31 13:50:00,-0.2673,0,15,GC,shortonly,Ret_fwd6hr,14
2016-01-04 13:50:00,-0.1055,0,15,GC,shortonly,Ret_fwd6hr,14
2016-01-05 13:50:00,0.2505,1,15,GC,shortonly,Ret_fwd6hr,14
2016-01-06 13:50:00,-0.2865,0,15,GC,shortonly,Ret_fwd6hr,14
2016-01-07 13:50:00,0.3762,0,15,GC,shortonly,Ret_fwd6hr,14
2016-01-08 13:50:00,-0.6404,0,15,GC,shortonly,Ret_fwd6hr,14
2016-01-11 13:50:00,0.1368,0,15,GC,shortonly,Ret_fwd6hr,14
2016-01-12 13:50:00,0.1013,0,15,GC,shortonly,Ret_fwd6hr,14
2016-01-13 13:50:00,-0.0611,0,15,GC,shortonly,Ret_fwd6hr,14
2016-01-14 13:50:00,-0.4941,0,15,GC,shortonly,Ret_fwd6hr,14
2016-01-15 13:50:00,-0.1591,0,15,GC,shortonly,Ret_fwd6hr,14
2016-01-19 13:50:00,-0.1315,1,15,GC,shortonly,Ret_fwd6hr,14
2016-01-20 13:50:00,0.4465,0,15,GC,shortonly,Ret_fwd6hr,14
2016-01-21 13:50:00,0.0969,1,15,GC,shortonly,Ret_fwd6hr,14
2016-01-22 13:50:00,-0.3892,0,15,GC,shortonly,Ret_fwd6hr,14
2016-01-25 13:50:00,-0.404,0,15,GC,shortonly,Ret_fwd6hr,14
2016-01-26 13:50:00,0.0625,1,15,GC,shortonly,Ret_fwd6hr,14
2016-01-27 13:50:00,-0.3165,0,15,GC,shortonly,Ret_fwd6hr,14
2016-01-28 13:50:00,-0.0538,1,15,GC,shortonly,Ret_fwd6hr,14
2016-01-29 13:50:00,-0.3433,0,15,GC,shortonly,Ret_fwd6hr,14
2016-02-01 13:50:00,-0.0059,0,15,GC,shortonly,Ret_fwd6hr,14
2016-02-02 13:50:00,-0.0207,1,15,GC,shortonly,Ret_fwd6hr,14
2016-02-03 13:50:00,0.2621,1,15,GC,shortonly,Ret_fwd6hr,14
2016-02-04 13:50:00,0.0577,0,15,GC,shortonly,Ret_fwd6hr,14
2016-02-05 13:50:00,-0.6303,1,15,GC,shortonly,Ret_fwd6hr,14
2016-02-08 13:50:00,0.5332,1,15,GC,shortonly,Ret_fwd6hr,14
2016-02-09 13:50:00,0.1562,0,15,GC,shortonly,Ret_fwd6hr,14
2016-02-10 13:50:00,-1.3417,0,15,GC,shortonly,Ret_fwd6hr,14
