Ticker,Direction,Target,Hour,NumObs,Years,NumTrades,TradeFreq,Win%,AvgLoss,AvgProfit,AvgPnL,Expectancy,BestDay,WorstDay,Annual%,MaxDD%,Sharpe,ProfitDD,UPI
GC,longonly,Ret_fwd6hr,17,2700,10.71,286,10.6,59.1,-0.20,0.27,0.07,0.07,1.24,-0.81,1.97,1.76,1.16,1.12,2.77
GC,longonly,Ret_fwd6hr,16,2900,11.51,285,9.8,62.1,-0.24,0.24,0.06,0.06,1.26,-1.74,1.55,5.98,0.90,0.26,2.41
GC,longonly,Ret_fwd6hr,12,2700,10.71,293,10.9,53.6,-0.19,0.25,0.05,0.05,1.51,-1.07,1.29,2.01,0.76,0.64,1.92
NQ,longonly,Ret_fwd6hr,0,2700,10.71,278,10.3,58.3,-0.33,0.41,0.10,0.10,8.61,-2.59,2.64,4.51,0.71,0.59,1.79
GC,shortonly,Ret_fwd6hr,2,3000,11.90,233,7.8,54.1,-0.27,0.35,0.06,0.06,5.15,-1.13,1.22,2.43,0.53,0.50,1.43
GC,longonly,Ret_fwd6hr,0,3000,11.90,309,10.3,53.7,-0.26,0.28,0.03,0.03,1.04,-0.93,0.81,3.13,0.48,0.26,0.68
GC,longonly,Ret_fwd6hr,14,2400,9.52,252,10.5,50.0,-0.20,0.25,0.03,0.03,2.50,-0.90,0.80,4.12,0.47,0.19,0.47
GC,longonly,Ret_fwd6hr,8,3200,12.70,304,9.5,51.3,-0.41,0.50,0.05,0.05,2.62,-2.89,1.25,6.95,0.42,0.18,0.45
GC,shortonly,Ret_fwd6hr,6,3100,12.30,326,10.5,53.1,-0.43,0.45,0.04,0.04,3.03,-1.70,1.03,6.11,0.34,0.17,0.36
GC,shortonly,Ret_fwd6hr,10,2700,10.71,274,10.1,50.0,-0.35,0.40,0.03,0.03,2.27,-2.26,0.65,7.37,0.26,0.09,0.20
GC,longonly,Ret_fwd6hr,23,3000,11.90,319,10.6,51.7,-0.26,0.28,0.02,0.02,1.35,-1.38,0.43,4.85,0.24,0.09,0.18
NQ,longonly,Ret_fwd6hr,2,2900,11.51,264,9.1,54.2,-0.38,0.36,0.02,0.02,1.67,-2.83,0.49,5.63,0.20,0.09,0.17
GC,longonly,Ret_fwd6hr,21,3100,12.30,322,10.4,47.8,-0.22,0.27,0.02,0.02,1.41,-0.97,0.40,5.01,0.25,0.08,0.17
GC,shortonly,Ret_fwd6hr,19,2800,11.11,339,12.1,50.1,-0.25,0.27,0.01,0.01,2.11,-1.11,0.33,6.53,0.18,0.05,0.16
GC,longonly,Ret_fwd6hr,2,3000,11.90,324,10.8,51.5,-0.30,0.31,0.01,0.01,1.38,-1.66,0.37,5.97,0.19,0.06,0.14
GC,longonly,Ret_fwd6hr,19,2800,11.11,297,10.6,50.5,-0.23,0.25,0.01,0.01,1.97,-2.11,0.31,5.47,0.18,0.06,0.14
GC,shortonly,Ret_fwd6hr,21,3100,12.30,366,11.8,48.6,-0.23,0.27,0.01,0.01,1.81,-2.19,0.37,5.13,0.19,0.07,0.14
GC,shortonly,Ret_fwd6hr,23,3000,11.90,315,10.5,51.7,-0.26,0.25,0.01,0.01,1.93,-1.40,0.27,6.00,0.15,0.04,0.11
GC,shortonly,Ret_fwd6hr,0,3000,11.90,293,9.8,51.5,-0.28,0.28,0.01,0.01,1.69,-1.48,0.17,6.39,0.10,0.03,0.07
GC,longonly,Ret_fwd6hr,10,2700,10.71,282,10.4,54.6,-0.39,0.35,0.01,0.01,1.36,-2.05,0.34,9.71,0.15,0.03,0.06
NQ,shortonly,Ret_fwd6hr,0,2700,10.71,283,10.5,45.6,-0.26,0.33,0.01,0.01,1.79,-3.02,0.15,6.10,0.08,0.02,0.05
GC,shortonly,Ret_fwd6hr,4,3100,12.30,323,10.4,46.7,-0.37,0.44,0.01,0.01,2.04,-2.01,0.20,10.26,0.09,0.02,0.04
