Metric,Value
Total Permutations,52.0
Successful,52.0
Failed,0.0
Workers Used,31.0
Average Annual Return (%),0.37374922595926086
Median Annual Return (%),0.28316395093580526
Average Sharpe Ratio,0.1433996019044357
Average Profit/DD,0.10492568827090926
