Ticker,Direction,Target,Hour,NumObs,Years,NumTrades,TradeFreq,Win%,AvgLoss,AvgProfit,AvgPnL,Expectancy,BestDay,WorstDay,Annual%,MaxDD%,Sharpe,ProfitDD,UPI
NQ,shortonly,Ret_fwd6hr,0,2750,10.91,285,10.4,44.2,-0.28,0.29,-0.03,-0.03,1.93,-1.65,-0.75,10.05,-0.35,-0.07,-0.12
NQ,longonly,Ret_fwd6hr,0,2750,10.91,311,11.3,54.0,-0.33,0.47,0.10,0.10,8.61,-1.53,2.93,4.49,0.71,0.65,1.82
NQ,longonly,Ret_fwd6hr,2,2900,11.51,312,10.8,51.6,-0.37,0.47,0.07,0.07,3.38,-2.71,1.80,8.00,0.55,0.22,0.75
NQ,longonly,Ret_fwd6hr,23,2800,11.11,320,11.4,58.8,-0.38,0.49,0.14,0.14,6.30,-2.73,3.93,5.23,0.95,0.75,4.21
NQ,longonly,Ret_fwd6hr,19,2950,11.71,338,11.5,59.8,-0.30,0.33,0.08,0.08,2.83,-3.94,2.25,4.09,0.76,0.55,2.23
NQ,shortonly,Ret_fwd6hr,23,2800,11.11,290,10.4,45.9,-0.31,0.30,-0.03,-0.03,1.87,-3.19,-0.80,14.38,-0.31,-0.06,-0.10
NQ,shortonly,Ret_fwd6hr,2,2900,11.51,297,10.2,51.2,-0.27,0.26,-0.00,-0.00,1.23,-1.82,-0.05,10.61,-0.02,-0.01,-0.01
NQ,shortonly,Ret_fwd6hr,19,2950,11.71,319,10.8,44.8,-0.22,0.37,0.05,0.05,5.36,-2.53,1.24,3.99,0.38,0.31,0.78
NQ,shortonly,Ret_fwd6hr,17,2600,10.32,272,10.5,49.3,-0.27,0.37,0.04,0.04,3.89,-3.54,1.15,3.99,0.42,0.29,0.73
NQ,longonly,Ret_fwd6hr,17,2600,10.32,271,10.4,54.6,-0.42,0.35,-0.00,-0.00,3.34,-4.62,-0.14,12.71,-0.02,-0.01,-0.02
NQ,shortonly,Ret_fwd6hr,14,3100,12.30,313,10.1,47.6,-0.37,0.58,0.09,0.09,5.99,-3.83,2.12,6.68,0.57,0.32,0.89
NQ,longonly,Ret_fwd6hr,14,3100,12.30,333,10.7,53.5,-0.52,0.59,0.07,0.07,3.31,-5.90,1.90,10.78,0.44,0.18,0.59
NQ,longonly,Ret_fwd6hr,6,3200,12.70,309,9.7,56.6,-0.65,0.65,0.09,0.09,4.63,-4.60,2.08,9.57,0.47,0.22,0.67
NQ,longonly,Ret_fwd6hr,4,3250,12.90,347,10.7,49.6,-0.49,0.54,0.02,0.02,3.98,-2.48,0.48,16.72,0.14,0.03,0.08
NQ,longonly,Ret_fwd6hr,21,2900,11.51,325,11.2,59.1,-0.30,0.33,0.07,0.07,3.51,-2.91,2.08,5.27,0.71,0.39,1.09
NQ,shortonly,Ret_fwd6hr,6,3200,12.70,314,9.8,50.6,-0.53,0.62,0.05,0.05,2.98,-2.15,1.14,5.13,0.32,0.22,0.51
NQ,shortonly,Ret_fwd6hr,4,3250,12.90,346,10.6,46.5,-0.38,0.47,0.02,0.02,2.17,-2.10,0.51,6.33,0.19,0.08,0.16
NQ,shortonly,Ret_fwd6hr,21,2900,11.51,267,9.2,43.4,-0.24,0.24,-0.03,-0.03,3.89,-2.00,-0.63,7.70,-0.31,-0.08,-0.16
NQ,longonly,Ret_fwd6hr,16,3100,12.30,318,10.3,58.5,-0.38,0.30,0.02,0.02,1.69,-4.36,0.41,10.08,0.17,0.04,0.10
NQ,shortonly,Ret_fwd6hr,16,3100,12.30,332,10.7,45.5,-0.29,0.40,0.02,0.02,4.54,-1.89,0.60,7.13,0.21,0.08,0.18
NQ,shortonly,Ret_fwd6hr,10,3300,13.10,372,11.3,45.4,-0.73,0.94,0.03,0.03,5.13,-6.64,0.60,13.47,0.13,0.04,0.10
NQ,longonly,Ret_fwd6hr,10,3300,13.10,338,10.2,59.2,-0.76,0.65,0.07,0.07,10.37,-5.44,1.77,9.51,0.34,0.19,0.49
NQ,longonly,Ret_fwd6hr,12,3200,12.70,323,10.1,59.1,-0.67,0.59,0.07,0.07,11.67,-6.99,1.70,9.51,0.32,0.18,0.47
NQ,shortonly,Ret_fwd6hr,12,3200,12.70,361,11.3,46.8,-0.48,0.73,0.09,0.09,9.36,-4.03,2.34,16.00,0.47,0.15,0.47
NQ,longonly,Ret_fwd6hr,8,3300,13.10,367,11.1,53.7,-0.68,0.75,0.09,0.09,11.28,-2.73,2.30,11.22,0.40,0.21,0.53
NQ,shortonly,Ret_fwd6hr,8,3300,13.10,328,9.9,46.0,-0.61,0.72,0.00,0.00,3.80,-2.72,-0.06,11.47,0.01,-0.01,-0.01
