datetime,equity,returns,trade_index
84,0.9683320554331597,-0.03166794456684025,0
105,0.962683732079897,-0.0058330438629712105,1
129,0.9592769521529431,-0.0035388360823273646,2
150,0.9697856909130581,0.010954853795381808,3
172,0.9501063194786991,-0.02029249515512115,4
258,0.9178269982124495,-0.03397443065525597,5
264,0.9421599976966469,0.026511531619344515,6
266,0.947710489877776,0.005891241609385554,7
309,0.9484267699264944,0.0007558004858750867,8
357,0.9379147706094293,-0.011083617260065135,9
380,0.9457354183794894,0.008338335225255582,10
421,0.9646995791049598,0.02005228984441072,11
425,0.9499723827424755,-0.01526609597585617,12
457,0.9432904524702876,-0.007033815291448697,13
498,0.9372634472538454,-0.006389341904880753,14
516,0.9243992866365652,-0.01372523451647639,15
593,0.9194493408748015,-0.005354770209499145,16
654,0.9211308265034622,0.0018287963826924534,17
777,0.9460148727511213,0.02701467102356874,18
953,0.960359995099313,0.015163738712135109,19
969,0.9319808444938151,-0.029550533914694314,20
993,0.9354892121784475,0.0037644203798393168,21
