Metric,Value
Total Permutations,78.0
Successful,78.0
Failed,0.0
Workers Used,31.0
Average Annual Return (%),0.07671806131217868
Median Annual Return (%),0.0315088958430243
Average Sharpe Ratio,0.04699174240026801
Average Profit/DD,0.05451078674414454
