datetime,equity,returns,trade_index
84,1.0216652574724208,0.021665257472420683,0
105,1.0182880431272874,-0.003305597719441511,1
129,1.0070933866076612,-0.010993604997310988,2
150,0.9826327504021883,-0.024288349552038287,3
172,1.0037242811780567,0.02146430674861563,4
258,1.0265982048482811,0.02278905083712608,5
264,1.0602255883058895,0.03275612922251127,6
266,1.0958919046389342,0.03364030893654923,7
309,1.1056872679063123,0.008938256798790331,8
357,1.1150652390642648,0.008481576509160883,9
380,1.108288884079118,-0.0060770928442117535,10
421,1.0788095507300042,-0.026598961491532493,11
425,1.034327292819723,-0.041232725350068666,12
457,1.0372586524489593,0.00283407355639344,13
498,1.045212652608204,0.007668290006996095,14
516,1.056570480458361,0.01086652349817521,15
593,1.0295124375366314,-0.025609311846372444,16
654,1.0133747930286863,-0.01567503598748021,17
777,1.0255106709227637,0.01197570531412847,18
953,1.0222927135815645,-0.0031379072226559524,19
969,1.0275935022606995,0.005185196576980138,20
993,1.032105409848703,0.004390751379876788,21
